"year"	"name"
"2022"	"L.HAMILTON"
"2022"	"G.RUSSELL"
"2021"	"L.HAMILTON"
"2021"	"V.BOTTAS"
"2020"	"L.HAMILTON"
"2020"	"G.RUSSELL"
"2020"	"V.BOTTAS"
"2019"	"L.HAMILTON"
"2019"	"V.BOTTAS"
"2018"	"L.HAMILTON"
"2018"	"V.BOTTAS"
"2017"	"L.HAMILTON"
"2017"	"V.BOTTAS"
"2016"	"N.ROSBERG"
"2016"	"L.HAMILTON"
"2015"	"N.ROSBERG"
"2015"	"L.HAMILTON"
"2014"	"N.ROSBERG"
"2014"	"L.HAMILTON"
"2013"	"N.ROSBERG"
"2013"	"L.HAMILTON"
"2012"	"M.SCHUMACHER"
"2012"	"N.ROSBERG"
"2011"	"M.SCHUMACHER"
"2011"	"N.ROSBERG"
"2010"	"M.SCHUMACHER"
"2010"	"N.ROSBERG"
"1955"	"J.FANGIO"
"1955"	"K.KLING"
"1955"	"H.HERRMANN"
"1955"	"A.SIMON"
"1955"	"S.MOSS"
"1955"	"P.TARUFFI"
"1954"	"J.FANGIO"
"1954"	"K.KLING"
"1954"	"H.HERRMANN"
"1954"	"H.LANG"
