"year"	"name"
"2005"	"R.DOORNBOS"
"2005"	"P.FRIESACHER"
"2005"	"C.ALBERS"
"2005"	"C.NISSANY"
"2005"	"E.TOCCACELO"
"2004"	"G.BRUNI"
"2004"	"Z.BAUMGARTNER"
"2004"	"B.LEINDERS"
"2003"	"N.KIESA"
"2003"	"J.WILSON"
"2003"	"J.VERSTAPPEN"
"2003"	"M.BOBBI"
"2003"	"G.BRUNI"
"2002"	"A.DAVIDSON"
"2002"	"A.YOONG"
"2002"	"M.WEBBER"
"2001"	"A.YOONG"
"2001"	"T.MARQUES"
"2001"	"F.ALONSO"
"2000"	"M.GENE"
"2000"	"G.MAZZACANE"
"1999"	"S.SARRAZIN"
"1999"	"L.BADOER"
"1999"	"M.GENE"
"1998"	"S.NAKANO"
"1998"	"E.TUERO"
"1997"	"U.KATAYAMA"
"1997"	"J.TRULLI"
"1997"	"T.MARQUES"
"1996"	"P.LAMY"
"1996"	"T.MARQUES"
"1996"	"G.FISICHELLA"
"1996"	"G.LAVAGGI"
"1995"	"P.LAMY"
"1995"	"P.MARTINI"
"1995"	"L.BADOER"
"1994"	"P.MARTINI"
"1994"	"M.ALBORETO"
"1993"	"J.GOUNON"
"1993"	"C.FITTIPALDI"
"1993"	"F.BARBAZZA"
"1993"	"P.MARTINI"
"1992"	"C.FITTIPALDI"
"1992"	"A.ZANARDI"
"1992"	"G.MORBIDELLI"
"1991"	"P.MARTINI"
"1991"	"G.MORBIDELLI"
"1991"	"R.MORENO"
"1990"	"M.APICELLA"
"1990"	"P.MARTINI"
"1990"	"G.MORBIDELLI"
"1990"	"P.BARILLA"
"1989"	"P.BARILLA"
"1989"	"P.MARTINI"
"1989"	"L.PEREZ-SALA"
"1988"	"A.CAMPOS"
"1988"	"P.MARTINI"
"1988"	"L.PEREZ-SALA"
"1987"	"A.CAMPOS"
"1987"	"A.NANNINI"
"1986"	"A.De CESARIS"
"1986"	"A.NANNINI"
"1985"	"P.MARTINI"
