"year"	"name"
"2022"	"S.PEREZ"
"2022"	"M.VERSTAPPEN"
"2021"	"S.PEREZ"
"2021"	"M.VERSTAPPEN"
"2020"	"A.ALBON"
"2020"	"M.VERSTAPPEN"
"2019"	"P.GASLY"
"2019"	"A.ALBON"
"2019"	"M.VERSTAPPEN"
"2018"	"D.RICCIARDO"
"2018"	"M.VERSTAPPEN"
"2017"	"D.RICCIARDO"
"2017"	"M.VERSTAPPEN"
"2016"	"D.RICCIARDO"
"2016"	"D.KVYAT"
"2016"	"M.VERSTAPPEN"
"2015"	"D.RICCIARDO"
"2015"	"D.KVYAT"
"2014"	"S.VETTEL"
"2014"	"D.RICCIARDO"
"2013"	"S.VETTEL"
"2013"	"M.WEBBER"
"2012"	"S.VETTEL"
"2012"	"M.WEBBER"
"2011"	"S.VETTEL"
"2011"	"M.WEBBER"
"2010"	"S.VETTEL"
"2010"	"M.WEBBER"
"2009"	"M.WEBBER"
"2009"	"S.VETTEL"
"2008"	"D.COULTHARD"
"2008"	"M.WEBBER"
"2007"	"D.COULTHARD"
"2007"	"M.WEBBER"
"2006"	"D.COULTHARD"
"2006"	"R.DOORNBOS"
"2006"	"C.KLIEN"
"2006"	"M.AMMERMULLER"
"2005"	"D.COULTHARD"
"2005"	"V.LIUZZI"
"2005"	"C.KLIEN"
"2005"	"S.SPEED"
