"year"	"name"
"2022"	"N.LATIFI"
"2022"	"A.ALBON"
"2021"	"N.LATIFI"
"2021"	"R.NISSANY"
"2021"	"G.RUSSELL"
"2021"	"J.AITKEN"
"2020"	"N.LATIFI"
"2020"	"R.NISSANY"
"2020"	"J.AITKEN"
"2020"	"G.RUSSELL"
"2019"	"N.LATIFI"
"2019"	"G.RUSSELL"
"2019"	"R.KUBICA"
"2018"	"L.STROLL"
"2018"	"S.SIROTKIN"
"2018"	"R.KUBICA"
"2017"	"L.STROLL"
"2017"	"F.MASSA"
"2017"	"P.di RESTA"
"2016"	"F.MASSA"
"2016"	"V.BOTTAS"
"2015"	"F.MASSA"
"2015"	"S.WOLFF"
"2015"	"V.BOTTAS"
"2014"	"F.MASSA"
"2014"	"F.NASR"
"2014"	"S.WOLFF"
"2014"	"V.BOTTAS"
"2013"	"P.MALDONADO"
"2013"	"V.BOTTAS"
"2012"	"P.MALDONADO"
"2012"	"B.SENNA"
"2012"	"V.BOTTAS"
"2011"	"R.BARRICHELLO"
"2011"	"P.MALDONADO"
"2010"	"R.BARRICHELLO"
"2010"	"N.HULKENBERG"
"2009"	"N.ROSBERG"
"2009"	"K.NAKAJIMA"
"2008"	"N.ROSBERG"
"2008"	"K.NAKAJIMA"
"2007"	"N.ROSBERG"
"2007"	"K.NAKAJIMA"
"2007"	"A.WURZ"
"2006"	"M.WEBBER"
"2006"	"N.ROSBERG"
"2006"	"A.WURZ"
"2005"	"M.WEBBER"
"2005"	"A.PIZZONIA"
"2005"	"N.HEIDFELD"
"2004"	"J.MONTOYA"
"2004"	"A.PIZZONIA"
"2004"	"M.GENE"
"2004"	"R.SCHUMACHER"
"2003"	"J.MONTOYA"
"2003"	"M.GENE"
"2003"	"R.SCHUMACHER"
"2002"	"R.SCHUMACHER"
"2002"	"J.MONTOYA"
"2001"	"R.SCHUMACHER"
"2001"	"J.MONTOYA"
"2000"	"R.SCHUMACHER"
"2000"	"J.BUTTON"
"1999"	"A.ZANARDI"
"1999"	"R.SCHUMACHER"
"1998"	"J.VILLENEUVE"
"1998"	"H.FRENTZEN"
"1997"	"J.VILLENEUVE"
"1997"	"H.FRENTZEN"
"1996"	"D.HILL"
"1996"	"J.VILLENEUVE"
"1995"	"D.HILL"
"1995"	"D.COULTHARD"
"1994"	"D.HILL"
"1994"	"D.COULTHARD"
"1994"	"A.SENNA"
"1994"	"N.MANSELL"
"1993"	"D.HILL"
"1993"	"A.PROST"
"1992"	"N.MANSELL"
"1992"	"R.PATRESE"
"1991"	"N.MANSELL"
"1991"	"R.PATRESE"
"1990"	"T.BOUTSEN"
"1990"	"R.PATRESE"
"1989"	"T.BOUTSEN"
"1989"	"R.PATRESE"
"1988"	"J.SCHLESSER"
"1988"	"M.BRUNDLE"
"1988"	"N.MANSELL"
"1988"	"R.PATRESE"
"1987"	"N.MANSELL"
"1987"	"R.PATRESE"
"1987"	"N.PIQUET"
"1986"	"N.MANSELL"
"1986"	"N.PIQUET"
"1985"	"N.MANSELL"
"1985"	"K.ROSBERG"
"1984"	"J.LAFFITE"
"1984"	"K.ROSBERG"
"1983"	"K.ROSBERG"
"1983"	"J.LAFFITE"
"1983"	"J.PALMER"
"1982"	"D.DALY"
"1982"	"C.REUTEMANN"
"1982"	"M.ANDRETTI"
"1982"	"K.ROSBERG"
"1981"	"A.JONES"
"1981"	"C.REUTEMANN"
"1981"	"E.De VILLOTA"
"1980"	"A.JONES"
"1980"	"C.REUTEMANN"
"1980"	"D.WILSON"
"1980"	"R.KEEGAN"
"1980"	"K.COGAN"
"1980"	"G.LEES"
"1979"	"A.JONES"
"1979"	"C.REGAZZONI"
"1978"	"A.JONES"
"1976"	"T.BELSØ"
"1976"	"A.MERZARIO"
"1976"	"J.ICKX"
"1976"	"M.KUWASHIMA"
"1976"	"W.BROWN"
"1976"	"H.BINDER"
"1976"	"M.LECLERE"
"1976"	"R.ZORZI"
"1976"	"C.AMON"
"1976"	"E.ZAPICO"
"1976"	"L.KESSEL"
"1975"	"R.ZORZI"
"1975"	"J.VONLANTHEN"
"1975"	"D.MAGEE"
"1975"	"L.LOMBARDI"
"1975"	"I.ASHLEY"
"1975"	"I.SCHECKTER"
"1975"	"F.MIGAULT"
"1975"	"A.MERZARIO"
"1975"	"T.BRISE"
"1975"	"J.LAFFITE"
