"position"	"driverName"	"driverSurname"	"driverInitials"	"driverTeam"
"1"	"Nino"	"Farina"	"FAR"	"Alfa Romeo"
"2"	"Luigi"	"Fagioli"	"FAG"	"Alfa Romeo"
"3"	"Louis "	"Rosier"	"ROS"	"Talbot-Lago"
"4"	"Prince"	"Bira"	"BIR"	"Maserati"
"5"	"Felice "	"Bonetto"	"BON"	"Maserati Milano"
"6"	"Toulo"	"de Graffenried"	"DEG"	"Maserati"
"7"	"Nello "	"Pagani"	"PAG"	"Maserati"
"8"	"Harry"	"Schell"	"SCH"	"Talbot-Lago"
"9"	"Louis "	"Chiron"	"CHI"	"Maserati"
"10"	"Johnny"	"Claes"	"CLA"	"Talbot-Lago"
"11"	"Toni "	"Branca"	"BRA"	"Maserati"
"NC"	"Juan Manuel"	"Fangio"	"FAN"	"Alfa Romeo"
"NC"	"Philippe "	"Etancelin"	"ETA"	"Talbot-Lago"
"NC"	"Raymond "	"Sommer"	"SOM"	"Ferrari"
"NC"	"Eugene "	"Martin"	"MAR"	"Talbot-Lago"
"NC"	"Luigi "	"Villoresi"	"VIL"	"Ferrari"
"NC"	"Alberto"	"Ascari"	"ASC"	"Ferrari"
"NC"	"Yves Giraud"	"Cabantous"	"CAB"	"Talbot-Lago"
