"position"	"driverName"	"driverSurname"	"driverInitials"	"driverTeam"
"1"	"Troy"	"Ruttman"	"RUT"	"Kuzma Offenhauser"
"2"	"Jim"	"Rathmann"	"RAT"	"Kurtis Kraft Offenhauser"
"3"	"Sam"	"Hanks"	"HAN"	"Kurtis Kraft Offenhauser"
"4"	"Duane"	"Carter"	"CAR"	"Lesovsky Offenhauser"
"5"	"Art"	"Cross"	"CRO"	"Kurtis Kraft Offenhauser"
"6"	"Jimmy"	"Bryan"	"BRY"	"Kurtis Kraft Offenhauser"
"7"	"Jimmy"	"Reece"	"REE"	"Kurtis Kraft Offenhauser"
"8"	"George"	"Connor"	"CON"	"Kurtis Kraft Offenhauser"
"9"	"Cliff"	"Griffith"	"GRI"	"Kurtis Kraft Offenhauser"
"10"	"Johnnie "	"Parsons"	"PAR"	"Kurtis Kraft Offenhauser"
"11"	"Jack"	"McGrath"	"MCG"	"Kurtis Kraft Offenhauser"
"12"	"Jim"	"Rigsby"	"RIG"	"Watson Offenhauser"
"13"	"Joe"	"James"	"JAM"	"Kurtis Kraft Offenhauser"
"14"	"Bill"	"Schindler"	"SCH"	"Stevens Offenhauser"
"15"	"George"	"Fonder"	"FON"	"Sherman Offenhauser"
"16"	"Eddie"	"Johnson"	"JOH"	"Trevis Offenhauser"
"17"	"Bill "	"Vukovich "	"VUK"	"Kurtis Kraft Offenhauser"
"18"	"Chuck "	"Stevenson"	"STE"	"Kurtis Kraft Offenhauser"
"19"	"Henry"	"Banks"	"BAN"	"Lesovsky Offenhauser"
"20"	"Manny"	"Ayulo"	"AYU"	"Lesovsky Offenhauser"
"21"	"Johnny"	"McDowell"	"MCD"	"Kurtis Kraft Offenhauser"
"22"	"Spider"	"Webb"	"WEB"	"Bromme Offenhauser"
"23"	"Rodger"	"Ward"	"WAR"	"Kurtis Kraft Offenhauser"
"24"	"Tony "	"Bettenhausen"	"BET"	"Deidt Offenhauser"
"25"	"Duke"	"Nalon"	"NAL"	"Kurtis Kraft Novi"
"26"	"Bob"	"Sweikert"	"SWE"	"Kurtis Kraft Offenhauser"
"27"	"Fred"	"Agabashian"	"AGA"	"Kurtis Kraft Cummins"
"28"	"Gene"	"Hartley"	"HAR"	"Kurtis Kraft Offenhauser"
"29"	"Bob"	"Scott"	"SCO"	"Kurtis Kraft Offenhauser"
"30"	"Chet "	"Miller"	"MIL"	"Kurtis Kraft Novi"
"31"	"Alberto"	"Ascari"	"ASC"	"Ferrari"
"32"	"Bobby"	"Ball"	"BAL"	"Stevens Offenhauser"
"33"	"Andy"	"Linden"	"LIN"	"Kurtis Kraft Offenhauser"
