"position"	"driverName"	"driverSurname"	"driverInitials"	"driverTeam"
"1"	"Alberto"	"Ascari"	"ASC"	"Ferrari"
"2"	"Luigi "	"Villoresi"	"VIL"	"Ferrari"
"3"	"Jose Froilan"	"Gonzalez"	"GON"	"Maserati"
"4"	"Mike"	"Hawthorn"	"HAW"	"Ferrari"
"5"	"Oscar Alfredo"	"Galvez"	"GAL"	"Maserati"
"6"	"Jean"	"Behra"	"BEH"	"Gordini"
"7"	"Maurice "	"Trintignant"	"TRI"	"Gordini"
"7"	"Harry"	"Schell"	"SCH"	"Gordini"
"8"	"John"	"Barber"	"BAR"	"Cooper Bristol"
"9"	"Alan"	"Brown"	"BRO"	"Cooper Bristol"
"NC"	"Robert "	"Manzon"	"MAN"	"Gordini"
"NC"	"Juan Manuel"	"Fangio"	"FAN"	"Maserati"
"NC"	"Felice "	"Bonetto"	"BON"	"Maserati"
"NC"	"Nino"	"Farina"	"FAR"	"Ferrari"
"NC"	"Carlos"	"Menditeguy"	"MEN"	"Gordini"
"NC"	"Pablo"	"Birger"	"BIR"	"Simca-Gordini"
"NC"	"Adolfo Schewelm"	"Cruz"	"CRU"	"Cooper Bristol"
