"position"	"driverName"	"driverSurname"	"driverInitials"	"driverTeam"
"1"	"Juan Manuel"	"Fangio"	"FAN"	"Mercedes-Benz"
"2"	"Stirling"	"Moss"	"MOS"	"Mercedes-Benz"
"3"	"Luigi"	"Musso"	"MUS"	"Maserati"
"4"	"Roberto"	"Mieres"	"MIE"	"Maserati"
"5"	"Eugenio"	"Castellotti"	"CAS"	"Ferrari"
"6"	"Jean"	"Behra"	"BEH"	"Maserati"
"7"	"Mike"	"Hawthorn"	"HAW"	"Ferrari"
"8"	"Hermano"	"da Silva Ramos"	"DAS"	"Gordini"
"9"	"Louis "	"Rosier"	"ROS"	"Maserati"
"10"	"Jacques "	"Pollet"	"POL"	"Gordini"
"11"	"Johnny"	"Claes"	"CLA"	"Ferrari"
"NC"	"Maurice "	"Trintignant"	"TRI"	"Ferrari"
"NC"	"Robert "	"Manzon"	"MAN"	"Gordini"
"NC"	"Horace "	"Gould "	"GOU"	"Maserati"
"NC"	"Karl"	"Kling"	"KLI"	"Mercedes-Benz"
"NC"	"Peter "	"Walker "	"WAL"	"Maserati"
