"position"	"driverName"	"driverSurname"	"driverInitials"	"driverTeam"
"1"	"Stirling"	"Moss"	"MOS"	"Vanwall"
"2"	"Mike"	"Hawthorn"	"HAW"	"Ferrari"
"3"	"Stuart "	"Lewis-Evans "	"LEW"	"Vanwall"
"4"	"Jean"	"Behra"	"BEH"	"BRM"
"5"	"Wolfgang"	"von Trips"	"VON"	"Ferrari"
"6"	"Harry"	"Schell"	"SCH"	"BRM"
"7"	"Jack"	"Brabham"	"BRA"	"Cooper Climax"
"8"	"Maurice "	"Trintignant"	"TRI"	"Cooper Climax"
"NC"	"Carroll "	"Shelby "	"SHE"	"Maserati"
"9"	"Roy"	"Salvadori"	"SAL"	"Cooper Climax"
"NC"	"Tony"	"Brooks"	"BRO"	"Vanwall"
"NC"	"Graham"	"Hill"	"HIL"	"Lotus Climax"
"NC"	"Cliff"	"Allison"	"ALL"	"Maserati"
"NC"	"Jo"	"Bonnier"	"BON"	"Maserati"
"NC"	"Maria Teresa"	"de Filippis "	"DEF"	"Maserati"
