"position"	"driverName"	"driverSurname"	"driverInitials"	"driverTeam"
"1"	"Richie"	"Ginther"	"GIN"	"Honda"
"2"	"Dan"	"Gurney"	"GUR"	"Brabham Climax"
"3"	"Mike"	"Spence"	"SPE"	"Lotus Climax"
"4"	"Jo"	"Siffert"	"SIF"	"Brabham BRM"
"5"	"Ronnie"	"Bucknum"	"BUC"	"Honda"
"6"	"Richard"	"Attwood"	"ATT"	"Lotus BRM"
"7"	"Pedro"	"Rodriguez"	"ROD"	"Ferrari"
"8"	"Lorenzo"	"Bandini"	"BAN"	"Ferrari"
"NC"	"Graham"	"Hill"	"HIL"	"BRM"
"NC"	"Moises"	"Solana"	"SOL"	"Lotus Climax"
"NC"	"Jo"	"Bonnier"	"BON"	"Brabham Climax"
"NC"	"Jochen"	"Rindt"	"RIN"	"Cooper Climax"
"NC"	"Jack"	"Brabham"	"BRA"	"Brabham Climax"
"NC"	"Jackie"	"Stewart"	"STE"	"BRM"
"NC"	"Bob"	"Bondurant"	"BON"	"Lotus BRM"
"NC"	"Bruce"	"McLaren"	"MCL"	"Cooper Climax"
"NC"	"Jim"	"Clark"	"CLA"	"Lotus Climax"
