"position"	"driverName"	"driverSurname"	"driverInitials"	"driverTeam"
"1"	"John"	"Watson"	"WAT"	"Penske Ford"
"2"	"Jacques"	"Laffite"	"LAF"	"Ligier Matra"
"3"	"Gunnar"	"Nilsson"	"NIL"	"Lotus Ford"
"4"	"James"	"Hunt"	"HUN"	"McLaren Ford"
"5"	"Mario"	"Andretti"	"AND"	"Lotus Ford"
"6"	"Ronnie"	"Peterson"	"PET"	"March Ford"
"7"	"Jochen"	"Mass"	"MAS"	"McLaren Ford"
"8"	"Harald"	"Ertl"	"ERT"	"Hesketh Ford"
"9"	"Henri"	"Pescarolo"	"PES"	"Surtees Ford"
"10"	"Brett"	"Lunger"	"LUN"	"Surtees Ford"
"11"	"Alessandro"	"Pesenti-Rossi"	"PES"	"Tyrrell Ford"
"12"	"Lella"	"Lombardi"	"LOM"	"null"
"NC"	"Hans"	"Binder"	"BIN"	"Ensign Ford"
"NC"	"Loris"	"Kessel"	"KES"	"null"
"NC"	"Vittorio"	"Brambilla"	"BRA"	"March Ford"
"NC"	"Emerson"	"Fittipaldi"	"FIT"	"Fittipaldi Ford"
"NC"	"Jean-Pierre"	"Jarier"	"JAR"	"Shadow Ford"
"NC"	"Carlos"	"Pace"	"PAC"	"Brabham Alfa Romeo"
"NC"	"Alan "	"Jones"	"JON"	"Surtees Ford"
"NC"	"Hans-Joachim"	"Stuck"	"STU"	"March Ford"
"NC"	"Patrick"	"Depailler"	"DEP"	"Tyrrell Ford"
"NC"	"Arturo"	"Merzario"	"MER"	"Wolf-Williams"
"NC"	"Tom"	"Pryce"	"PRY"	"Shadow Ford"
"NC"	"Jody"	"Scheckter"	"SCH"	"Tyrrell Ford"
"NC"	"Carlos"	"Reutemann"	"REU"	"Brabham Alfa Romeo"
