"position"	"driverName"	"driverSurname"	"driverInitials"	"driverTeam"
"1"	"James"	"Hunt"	"HUN"	"McLaren Ford"
"2"	"Jody"	"Scheckter"	"SCH"	"Tyrrell Ford"
"3"	"Niki"	"Lauda"	"LAU"	"Ferrari"
"4"	"Jochen"	"Mass"	"MAS"	"McLaren Ford"
"5"	"Hans-Joachim"	"Stuck"	"STU"	"March Ford"
"6"	"John"	"Watson"	"WAT"	"Penske Ford"
"7"	"Clay"	"Regazzoni"	"REG"	"Ferrari"
"8"	"Alan "	"Jones"	"JON"	"Surtees Ford"
"9"	"Emerson"	"Fittipaldi"	"FIT"	"Fittipaldi Ford"
"10"	"Jean-Pierre"	"Jarier"	"JAR"	"Shadow Ford"
"11"	"Brett"	"Lunger"	"LUN"	"Surtees Ford"
"12"	"Alex"	"Ribeiro"	"RIB"	"Hesketh Ford"
"13"	"Harald"	"Ertl"	"ERT"	"Hesketh Ford"
"14"	"Warwick"	"Brown"	"BRO"	"Wolf-Williams"
"NC"	"Henri"	"Pescarolo"	"PES"	"Surtees Ford"
"NC"	"Tom"	"Pryce"	"PRY"	"Shadow Ford"
"NC"	"Jacques"	"Laffite"	"LAF"	"Ligier Matra"
"NC"	"Vittorio"	"Brambilla"	"BRA"	"March Ford"
"NC"	"Carlos"	"Pace"	"PAC"	"Brabham Alfa Romeo"
"NC"	"Larry"	"Perkins"	"PER"	"Brabham Alfa Romeo"
"NC"	"Mario"	"Andretti"	"AND"	"Lotus Ford"
"NC"	"Jacky"	"Ickx"	"ICK"	"Ensign Ford"
"NC"	"Gunnar"	"Nilsson"	"NIL"	"Lotus Ford"
"NC"	"Ronnie"	"Peterson"	"PET"	"March Ford"
"NC"	"Arturo"	"Merzario"	"MER"	"Wolf-Williams"
"NC"	"Patrick"	"Depailler"	"DEP"	"Tyrrell Ford"
