"position"	"driverName"	"driverSurname"	"driverInitials"	"driverTeam"
"1"	"James"	"Hunt"	"HUN"	"McLaren Ford"
"2"	"Niki"	"Lauda"	"LAU"	"Ferrari"
"3"	"Gunnar"	"Nilsson"	"NIL"	"Lotus Ford"
"4"	"Jochen"	"Mass"	"MAS"	"McLaren Ford"
"5"	"Hans-Joachim"	"Stuck"	"STU"	"Brabham Alfa Romeo"
"6"	"Jacques"	"Laffite"	"LAF"	"Ligier Matra"
"7"	"Alan "	"Jones"	"JON"	"Shadow Ford"
"8"	"Vittorio"	"Brambilla"	"BRA"	"Surtees Ford"
"9"	"Jean-Pierre"	"Jarier"	"JAR"	"Penske Ford"
"10"	"Patrick"	"Neve"	"NEV"	"March Ford"
"11"	"Gilles"	"Villeneuve"	"VIL"	"McLaren Ford"
"12"	"Vern"	"Schuppan"	"SCH"	"Surtees Ford"
"13"	"Brett"	"Lunger"	"LUN"	"McLaren Ford"
"14"	"Mario"	"Andretti"	"AND"	"Lotus Ford"
"15"	"Carlos"	"Reutemann"	"REU"	"Ferrari"
"NC"	"John"	"Watson"	"WAT"	"Brabham Alfa Romeo"
"NC"	"Jody"	"Scheckter"	"SCH"	"Wolf Ford"
"NC"	"Emerson"	"Fittipaldi"	"FIT"	"Fittipaldi Ford"
"NC"	"Arturo"	"Merzario"	"MER"	"March Ford"
"NC"	"Riccardo"	"Patrese"	"PAT"	"Shadow Ford"
"NC"	"Patrick"	"Depailler"	"DEP"	"Tyrrell Ford"
"NC"	"Jean-Pierre"	"Jabouille"	"JAB"	"Renault"
"NC"	"Ian"	"Scheckter"	"SCH"	"March Ford"
"NC"	"Patrick"	"Tambay"	"TAM"	"Ensign Ford"
"NC"	"Ronnie"	"Peterson"	"PET"	"Tyrrell Ford"
"NC"	"Rupert"	"Keegan"	"KEE"	"Hesketh Ford"
