"position"	"driverName"	"driverSurname"	"driverInitials"	"driverTeam"
"1"	"Niki"	"Lauda"	"LAU"	"Brabham Alfa Romeo"
"2"	"Riccardo"	"Patrese"	"PAT"	"Arrows Ford"
"3"	"Ronnie"	"Peterson"	"PET"	"Lotus Ford"
"4"	"Patrick"	"Tambay"	"TAM"	"McLaren Ford"
"5"	"Clay"	"Regazzoni"	"REG"	"Shadow Ford"
"6"	"Emerson"	"Fittipaldi"	"FIT"	"Fittipaldi Ford"
"7"	"Jacques"	"Laffite"	"LAF"	"Ligier Matra"
"8"	"James"	"Hunt"	"HUN"	"McLaren Ford"
"9"	"Gilles"	"Villeneuve"	"VIL"	"Ferrari"
"10"	"Carlos"	"Reutemann"	"REU"	"Ferrari"
"11"	"Hans-Joachim"	"Stuck"	"STU"	"Shadow Ford"
"12"	"Hector"	"Rebaque"	"REB"	"Lotus Ford"
"13"	"Jochen"	"Mass"	"MAS"	"ATS Ford"
"14"	"Rolf"	"Stommelen"	"STO"	"Arrows Ford"
"15"	"Keke"	"Rosberg"	"ROS"	"ATS Ford"
"NC"	"Arturo"	"Merzario"	"MER"	"Merzario Ford"
"NC"	"Mario"	"Andretti"	"AND"	"Lotus Ford"
"NC"	"Alan "	"Jones"	"JON"	"Williams Ford"
"NC"	"Patrick"	"Depailler"	"DEP"	"Tyrrell Ford"
"NC"	"Jean-Pierre"	"Jabouille"	"JAB"	"Renault"
"NC"	"John"	"Watson"	"WAT"	"Brabham Alfa Romeo"
"NC"	"Jody"	"Scheckter"	"SCH"	"Wolf Ford"
"NC"	"Didier"	"Pironi"	"PIR"	"Tyrrell Ford"
"NC"	"Vittorio"	"Brambilla"	"BRA"	"Surtees Ford"
