"position"	"driverName"	"driverSurname"	"driverInitials"	"driverTeam"
"1"	"Alan "	"Jones"	"JON"	"Williams Ford"
"2"	"Clay"	"Regazzoni"	"REG"	"Williams Ford"
"3"	"Jacques"	"Laffite"	"LAF"	"Ligier Ford"
"4"	"Jody"	"Scheckter"	"SCH"	"Ferrari"
"5"	"John"	"Watson"	"WAT"	"McLaren Ford"
"6"	"Jochen"	"Mass"	"MAS"	"Arrows Ford"
"7"	"Geoff"	"Lees"	"LEE"	"Tyrrell Ford"
"8"	"Gilles"	"Villeneuve"	"VIL"	"Ferrari"
"9"	"Didier"	"Pironi"	"PIR"	"Tyrrell Ford"
"10"	"Jan"	"Lammers"	"LAM"	"Shadow Ford"
"11"	"Elio"	"de Angelis"	"DEA"	"Shadow Ford"
"12"	"Nelson"	"Piquet"	"PIQ"	"Brabham Alfa Romeo"
"NC"	"Riccardo"	"Patrese"	"PAT"	"Arrows Ford"
"NC"	"Patrick"	"Tambay"	"TAM"	"McLaren Ford"
"NC"	"Keke"	"Rosberg"	"ROS"	"Wolf Ford"
"NC"	"Niki"	"Lauda"	"LAU"	"Brabham Alfa Romeo"
"NC"	"Jacky"	"Ickx"	"ICK"	"Ligier Ford"
"NC"	"Hector"	"Rebaque"	"REB"	"Lotus Ford"
"NC"	"Mario"	"Andretti"	"AND"	"Lotus Ford"
"NC"	"Rene"	"Arnoux"	"ARN"	"Renault"
"NC"	"Jean-Pierre"	"Jabouille"	"JAB"	"Renault"
"NC"	"Emerson"	"Fittipaldi"	"FIT"	"Fittipaldi Ford"
"NC"	"Carlos"	"Reutemann"	"REU"	"Lotus Ford"
"NC"	"Hans-Joachim"	"Stuck"	"STU"	"ATS Ford"
