"position"	"driverName"	"driverSurname"	"driverInitials"	"driverTeam"
"1"	"Patrick"	"Depailler"	"DEP"	"Ligier Ford"
"2"	"Carlos"	"Reutemann"	"REU"	"Lotus Ford"
"3"	"Mario"	"Andretti"	"AND"	"Lotus Ford"
"4"	"Jody"	"Scheckter"	"SCH"	"Ferrari"
"5"	"Jean-Pierre"	"Jarier"	"JAR"	"Tyrrell Ford"
"6"	"Didier"	"Pironi"	"PIR"	"Tyrrell Ford"
"7"	"Gilles"	"Villeneuve"	"VIL"	"Ferrari"
"8"	"Jochen"	"Mass"	"MAS"	"Arrows Ford"
"9"	"Rene"	"Arnoux"	"ARN"	"Renault"
"10"	"Riccardo"	"Patrese"	"PAT"	"Arrows Ford"
"11"	"Emerson"	"Fittipaldi"	"FIT"	"Fittipaldi Ford"
"12"	"Jan"	"Lammers"	"LAM"	"Shadow Ford"
"13"	"Patrick"	"Tambay"	"TAM"	"McLaren Ford"
"14"	"Hans-Joachim"	"Stuck"	"STU"	"ATS Ford"
"NC"	"Niki"	"Lauda"	"LAU"	"Brabham Alfa Romeo"
"NC"	"Hector"	"Rebaque"	"REB"	"Lotus Ford"
"NC"	"Alan "	"Jones"	"JON"	"Williams Ford"
"NC"	"Elio"	"de Angelis"	"DEA"	"Shadow Ford"
"NC"	"Clay"	"Regazzoni"	"REG"	"Williams Ford"
"NC"	"James"	"Hunt"	"HUN"	"Wolf Ford"
"NC"	"John"	"Watson"	"WAT"	"McLaren Ford"
"NC"	"Jean-Pierre"	"Jabouille"	"JAB"	"Renault"
"NC"	"Jacques"	"Laffite"	"LAF"	"Ligier Ford"
"NC"	"Nelson"	"Piquet"	"PIQ"	"Brabham Alfa Romeo"
