"position"	"driverName"	"driverSurname"	"driverInitials"	"driverTeam"
"1"	"Gilles"	"Villeneuve"	"VIL"	"Ferrari"
"2"	"Jody"	"Scheckter"	"SCH"	"Ferrari"
"3"	"Alan "	"Jones"	"JON"	"Williams Ford"
"4"	"Mario"	"Andretti"	"AND"	"Lotus Ford"
"5"	"Patrick"	"Depailler"	"DEP"	"Ligier Ford"
"6"	"Jean-Pierre"	"Jarier"	"JAR"	"Tyrrell Ford"
"7"	"Elio"	"de Angelis"	"DEA"	"Shadow Ford"
"8"	"Nelson"	"Piquet"	"PIQ"	"Brabham Alfa Romeo"
"9"	"Jochen"	"Mass"	"MAS"	"Arrows Ford"
"DQ"	"Didier"	"Pironi"	"PIR"	"Tyrrell Ford"
"NC"	"Hector"	"Rebaque"	"REB"	"Lotus Ford"
"NC"	"Derek"	"Daly"	"DAL"	"Ensign Ford"
"NC"	"John"	"Watson"	"WAT"	"McLaren Ford"
"DQ"	"Hans-Joachim"	"Stuck"	"STU"	"ATS Ford"
"NC"	"Clay"	"Regazzoni"	"REG"	"Williams Ford"
"NC"	"Jan"	"Lammers"	"LAM"	"Shadow Ford"
"NC"	"Riccardo"	"Patrese"	"PAT"	"Arrows Ford"
"NC"	"Carlos"	"Reutemann"	"REU"	"Lotus Ford"
"NC"	"Emerson"	"Fittipaldi"	"FIT"	"Fittipaldi Ford"
"NC"	"Arturo"	"Merzario"	"MER"	"Merzario Ford"
"NC"	"Jacques"	"Laffite"	"LAF"	"Ligier Ford"
"NC"	"James"	"Hunt"	"HUN"	"Wolf Ford"
"NC"	"Niki"	"Lauda"	"LAU"	"Brabham Alfa Romeo"
"NC"	"Patrick"	"Tambay"	"TAM"	"McLaren Ford"
"NC"	"Jean-Pierre"	"Jabouille"	"JAB"	"Renault"
"NC"	"Rene"	"Arnoux"	"ARN"	"Renault"
