"position"	"driverName"	"driverSurname"	"driverInitials"	"driverTeam"
"1"	"Michele"	"Alboreto"	"ALB"	"Tyrrell Ford"
"2"	"John"	"Watson"	"WAT"	"McLaren Ford"
"3"	"Eddie "	"Cheever"	"CHE"	"Ligier Matra"
"4"	"Alain"	"Prost"	"PRO"	"Renault"
"5"	"Keke"	"Rosberg"	"ROS"	"Williams Ford"
"6"	"Derek"	"Daly"	"DAL"	"Williams Ford"
"7"	"Marc"	"Surer"	"SUR"	"Arrows Ford"
"8"	"Brian"	"Henton"	"HEN"	"Tyrrell Ford"
"9"	"Andrea"	"de Cesaris"	"DEC"	"Alfa Romeo"
"10"	"Bruno"	"Giacomelli"	"GIA"	"Alfa Romeo"
"11"	"Mauro"	"Baldi"	"BAL"	"Arrows Ford"
"12"	"Rupert"	"Keegan"	"KEE"	"March Ford"
"13"	"Raul"	"Boesel"	"BOE"	"March Ford"
"NC"	"Manfred"	"Winkelhock"	"WIN"	"ATS Ford"
"NC"	"Niki"	"Lauda"	"LAU"	"McLaren Ford"
"NC"	"Tommy"	"Byrne"	"BYR"	"Theodore Ford"
"NC"	"Derek"	"Warwick"	"WAR"	"Toleman Hart"
"NC"	"Elio"	"de Angelis"	"DEA"	"Lotus Ford"
"NC"	"Mario"	"Andretti"	"AND"	"Ferrari"
"NC"	"Nelson"	"Piquet"	"PIQ"	"Brabham BMW"
"NC"	"Rene"	"Arnoux"	"ARN"	"Renault"
"NC"	"Riccardo"	"Patrese"	"PAT"	"Brabham BMW"
"NC"	"Nigel"	"Mansell"	"MAN"	"Lotus Ford"
"NC"	"Jacques"	"Laffite"	"LAF"	"Ligier Matra"
