"position"	"driverName"	"driverSurname"	"driverInitials"	"driverTeam"
"1"	"Michele"	"Alboreto"	"ALB"	"Tyrrell Ford"
"2"	"Keke"	"Rosberg"	"ROS"	"Williams Ford"
"3"	"John"	"Watson"	"WAT"	"McLaren Ford"
"4"	"Nelson"	"Piquet"	"PIQ"	"Brabham BMW"
"5"	"Jacques"	"Laffite"	"LAF"	"Williams Ford"
"6"	"Nigel"	"Mansell"	"MAN"	"Lotus Ford"
"7"	"Thierry"	"Boutsen"	"BOU"	"Arrows Ford"
"8"	"Alain"	"Prost"	"PRO"	"Renault"
"9"	"Bruno"	"Giacomelli"	"GIA"	"Toleman Hart"
"10"	"Raul"	"Boesel"	"BOE"	"Ligier Ford"
"11"	"Marc"	"Surer"	"SUR"	"Arrows Ford"
"12"	"Mauro"	"Baldi"	"BAL"	"Alfa Romeo"
"NC"	"Niki"	"Lauda"	"LAU"	"McLaren Ford"
"NC"	"Roberto"	"Guerrero"	"GUE"	"Theodore Ford"
"NC"	"Johnny"	"Cecotto"	"CEC"	"Theodore Ford"
"NC"	"Andrea"	"de Cesaris"	"DEC"	"Alfa Romeo"
"NC"	"Rene"	"Arnoux"	"ARN"	"Ferrari"
"NC"	"Danny"	"Sullivan"	"SUL"	"Tyrrell Ford"
"NC"	"Jean-Pierre"	"Jarier"	"JAR"	"Ligier Ford"
"NC"	"Manfred"	"Winkelhock"	"WIN"	"ATS BMW"
"NC"	"Derek"	"Warwick"	"WAR"	"Toleman Hart"
"NC"	"Riccardo"	"Patrese"	"PAT"	"Brabham BMW"
"NC"	"Elio"	"de Angelis"	"DEA"	"Lotus Renault"
"NC"	"Eddie "	"Cheever"	"CHE"	"Renault"
"NC"	"Piercarlo"	"Ghinzani"	"GHI"	"Osella Alfa Romeo"
