"position"	"driverName"	"driverSurname"	"driverInitials"	"driverTeam"
"1"	"Nigel"	"Mansell"	"MAN"	"Williams Honda"
"2"	"Keke"	"Rosberg"	"ROS"	"Williams Honda"
"3"	"Alain"	"Prost"	"PRO"	"McLaren TAG"
"4"	"Stefan"	"Johansson"	"JOH"	"Ferrari"
"5"	"Gerhard"	"Berger"	"BER"	"Arrows BMW"
"6"	"Thierry"	"Boutsen"	"BOU"	"Arrows BMW"
"7"	"Martin"	"Brundle"	"BRU"	"Tyrrell Renault"
"NC"	"Elio"	"de Angelis"	"DEA"	"Lotus Renault"
"NC"	"Pierluigi"	"Martini"	"MAR"	"Minardi Motori Moderni"
"NC"	"Niki"	"Lauda"	"LAU"	"McLaren TAG"
"NC"	"Philippe"	"Streiff"	"STR"	"Tyrrell Renault"
"NC"	"Ayrton"	"Senna"	"SEN"	"Lotus Renault"
"NC"	"Michele"	"Alboreto"	"ALB"	"Ferrari"
"NC"	"Nelson"	"Piquet"	"PIQ"	"Brabham BMW"
"NC"	"Piercarlo"	"Ghinzani"	"GHI"	"Toleman Hart"
"NC"	"Teo"	"Fabi"	"FAB"	"Toleman Hart"
"NC"	"Marc"	"Surer"	"SUR"	"Brabham BMW"
"NC"	"Huub"	"Rothengatter"	"ROT"	"Osella Alfa Romeo"
"NC"	"Riccardo"	"Patrese"	"PAT"	"Alfa Romeo"
"NC"	"Eddie "	"Cheever"	"CHE"	"Alfa Romeo"
