"position"	"driverName"	"driverSurname"	"driverInitials"	"driverTeam"
"1"	"Michael"	"Schumacher"	"MSC"	"Benetton Ford"
"2"	"Nigel"	"Mansell"	"MAN"	"Williams Renault"
"3"	"Riccardo"	"Patrese"	"PAT"	"Williams Renault"
"4"	"Martin"	"Brundle"	"BRU"	"Benetton Ford"
"5"	"Ayrton"	"Senna"	"SEN"	"McLaren Honda"
"6"	"Mika"	"Hakkinen"	"HAK"	"Lotus Ford"
"7"	"Jyrki"	"Jarvilehto"	"JAR"	"Dallara Ferrari"
"8"	"Andrea"	"de Cesaris"	"DEC"	"Tyrrell Ilmor"
"9"	"Aguri"	"Suzuki"	"SUZ"	"Footwork Mugen Honda"
"10"	"Eric"	"van de Poele"	"VAN"	"Fondmetal Ford"
"11"	"Karl"	"Wendlinger"	"WEN"	"March Ilmor"
"12"	"Emanuele"	"Naspetti"	"NAS"	"March Ilmor"
"13"	"Johnny"	"Herbert"	"HER"	"Lotus Ford"
"14"	"Mauricio"	"Gugelmin"	"GUG"	"Jordan Yamaha"
"15"	"Stefano"	"Modena"	"MOD"	"Jordan Yamaha"
"16"	"Gianni"	"Morbidelli"	"MOR"	"Minardi Lamborghini"
"17"	"Ukyo"	"Katayama"	"KAT"	"Venturi Lamborghini"
"18"	"Bertrand"	"Gachot"	"GAC"	"Venturi Lamborghini"
"NC"	"Thierry"	"Boutsen"	"BOU"	"Ligier Renault"
"NC"	"Ivan"	"Capelli"	"CAP"	"Ferrari"
"NC"	"Gabriele"	"Tarquini"	"TAR"	"Fondmetal Ford"
"NC"	"Michele"	"Alboreto"	"ALB"	"Footwork Mugen Honda"
"NC"	"Jean"	"Alesi"	"ALE"	"Ferrari"
"NC"	"Olivier"	"Grouillard"	"GRO"	"Tyrrell Ilmor"
