"position"	"driverName"	"driverSurname"	"driverInitials"	"driverTeam"
"1"	"Ayrton"	"Senna"	"SEN"	"McLaren Ford"
"2"	"Damon"	"Hill"	"HIL"	"Williams Renault"
"3"	"Alain"	"Prost"	"PRO"	"Williams Renault"
"4"	"Johnny"	"Herbert"	"HER"	"Lotus Ford"
"5"	"Riccardo"	"Patrese"	"PAT"	"Benetton Ford"
"6"	"Fabrizio"	"Barbazza"	"BAR"	"Minardi Ford"
"7"	"Christian"	"Fittipaldi"	"FIT"	"Minardi Ford"
"8"	"Alessandro"	"Zanardi"	"ZAN"	"Lotus Ford"
"9"	"Erik"	"Comas"	"COM"	"Larrousse Lamborghini"
"10"	"Rubens"	"Barrichello"	"BAR"	"Jordan Hart"
"11"	"Michele"	"Alboreto"	"ALB"	"Lola Ferrari"
"NC"	"Derek"	"Warwick"	"WAR"	"Footwork Mugen Honda"
"NC"	"Thierry"	"Boutsen"	"BOU"	"Jordan Hart"
"NC"	"Andrea"	"de Cesaris"	"DEC"	"Tyrrell Yamaha"
"NC"	"Jean"	"Alesi"	"ALE"	"Ferrari"
"NC"	"Aguri"	"Suzuki"	"SUZ"	"Footwork Mugen Honda"
"NC"	"Philippe"	"Alliot"	"ALL"	"Larrousse Lamborghini"
"NC"	"Michael"	"Schumacher"	"MSC"	"Benetton Ford"
"NC"	"Mark"	"Blundell"	"BLU"	"Ligier Renault"
"NC"	"Gerhard"	"Berger"	"BER"	"Ferrari"
"NC"	"Jyrki"	"Jarvilehto"	"JAR"	"Sauber"
"NC"	"Ukyo"	"Katayama"	"KAT"	"Tyrrell Yamaha"
"NC"	"Martin"	"Brundle"	"BRU"	"Ligier Renault"
