"position"	"driverName"	"driverSurname"	"driverInitials"	"driverTeam"
"1"	"Ayrton"	"Senna"	"SEN"	"McLaren Ford"
"2"	"Alain"	"Prost"	"PRO"	"Williams Renault"
"3"	"Mika"	"Hakkinen"	"HAK"	"McLaren Ford"
"4"	"Damon"	"Hill"	"HIL"	"Williams Renault"
"5"	"Rubens"	"Barrichello"	"BAR"	"Jordan Hart"
"6"	"Eddie"	"Irvine"	"IRV"	"Jordan Hart"
"7"	"Mark"	"Blundell"	"BLU"	"Ligier Renault"
"8"	"Jyrki"	"Jarvilehto"	"JAR"	"Sauber"
"9"	"Martin"	"Brundle"	"BRU"	"Ligier Renault"
"10"	"Pierluigi"	"Martini"	"MAR"	"Minardi Ford"
"11"	"Johnny"	"Herbert"	"HER"	"Lotus Ford"
"12"	"Toshio "	"Suzuki"	"SUZ"	"Larrousse Lamborghini"
"13"	"Pedro"	"Lamy"	"LAM"	"Lotus Ford"
"14"	"Derek"	"Warwick"	"WAR"	"Footwork Mugen Honda"
"NC"	"Riccardo"	"Patrese"	"PAT"	"Benetton Ford"
"NC"	"Gerhard"	"Berger"	"BER"	"Ferrari"
"NC"	"Aguri"	"Suzuki"	"SUZ"	"Footwork Mugen Honda"
"NC"	"Ukyo"	"Katayama"	"KAT"	"Tyrrell Yamaha"
"NC"	"Jean-Marc"	"Gounon"	"GOU"	"Minardi Ford"
"NC"	"Karl"	"Wendlinger"	"WEN"	"Sauber"
"NC"	"Erik"	"Comas"	"COM"	"Larrousse Lamborghini"
"NC"	"Michael"	"Schumacher"	"MSC"	"Benetton Ford"
"NC"	"Jean"	"Alesi"	"ALE"	"Ferrari"
