"position"	"driverName"	"driverSurname"	"driverInitials"	"driverTeam"
"1"	"Michael"	"Schumacher"	"MSC"	"Benetton Ford"
"2"	"Gerhard"	"Berger"	"BER"	"Ferrari"
"3"	"Rubens"	"Barrichello"	"BAR"	"Jordan Hart"
"4"	"Christian"	"Fittipaldi"	"FIT"	"Footwork Ford"
"5"	"Heinz-Harald"	"Frentzen"	"FRE"	"Sauber Mercedes"
"6"	"Erik"	"Comas"	"COM"	"Larrousse Ford"
"7"	"Johnny"	"Herbert"	"HER"	"Lotus Mugen Honda"
"8"	"Pedro"	"Lamy"	"LAM"	"Lotus Mugen Honda"
"9"	"Olivier"	"Panis"	"PAN"	"Ligier Renault"
"10"	"Eric"	"Bernard"	"BER"	"Ligier Renault"
"11"	"Roland"	"Ratzenberger"	"RAT"	"Simtek Ford"
"NC"	"Gianni"	"Morbidelli"	"MOR"	"Footwork Ford"
"NC"	"Karl"	"Wendlinger"	"WEN"	"Sauber Mercedes"
"NC"	"Michele"	"Alboreto"	"ALB"	"Minardi Ford"
"NC"	"Martin"	"Brundle"	"BRU"	"McLaren Peugeot"
"NC"	"Pierluigi"	"Martini"	"MAR"	"Minardi Ford"
"NC"	"Jos"	"Verstappen"	"VER"	"Benetton Ford"
"NC"	"Damon"	"Hill"	"HIL"	"Williams Renault"
"NC"	"Aguri"	"Suzuki"	"SUZ"	"Jordan Hart"
"NC"	"Ukyo"	"Katayama"	"KAT"	"Tyrrell Yamaha"
"NC"	"Mika"	"Hakkinen"	"HAK"	"McLaren Peugeot"
"NC"	"Olivier"	"Beretta"	"BER"	"Larrousse Ford"
"NC"	"David"	"Brabham"	"BRA"	"Simtek Ford"
"NC"	"Ayrton"	"Senna"	"SEN"	"Williams Renault"
"NC"	"Mark"	"Blundell"	"BLU"	"Tyrrell Yamaha"
"NC"	"Nicola"	"Larini"	"LAR"	"Ferrari"
