"position"	"driverName"	"driverSurname"	"driverInitials"	"driverTeam"
"1"	"Michael"	"Schumacher"	"MSC"	"Benetton Ford"
"2"	"Nicola"	"Larini"	"LAR"	"Ferrari"
"3"	"Mika"	"Hakkinen"	"HAK"	"McLaren Peugeot"
"4"	"Karl"	"Wendlinger"	"WEN"	"Sauber Mercedes"
"5"	"Ukyo"	"Katayama"	"KAT"	"Tyrrell Yamaha"
"6"	"Damon"	"Hill"	"HIL"	"Williams Renault"
"7"	"Heinz-Harald"	"Frentzen"	"FRE"	"Sauber Mercedes"
"8"	"Martin"	"Brundle"	"BRU"	"McLaren Peugeot"
"9"	"Mark"	"Blundell"	"BLU"	"Tyrrell Yamaha"
"10"	"Johnny"	"Herbert"	"HER"	"Lotus Mugen Honda"
"11"	"Olivier"	"Panis"	"PAN"	"Ligier Renault"
"12"	"Eric"	"Bernard"	"BER"	"Ligier Renault"
"13"	"Christian"	"Fittipaldi"	"FIT"	"Footwork Ford"
"NC"	"Andrea"	"de Cesaris"	"DEC"	"Jordan Hart"
"NC"	"Michele"	"Alboreto"	"ALB"	"Minardi Ford"
"NC"	"Gianni"	"Morbidelli"	"MOR"	"Footwork Ford"
"NC"	"Pierluigi"	"Martini"	"MAR"	"Minardi Ford"
"NC"	"David"	"Brabham"	"BRA"	"Simtek Ford"
"NC"	"Bertrand"	"Gachot"	"GAC"	"Pacific Ilmor"
"NC"	"Olivier"	"Beretta"	"BER"	"Larrousse Ford"
"NC"	"Gerhard"	"Berger"	"BER"	"Ferrari"
"NC"	"Ayrton"	"Senna"	"SEN"	"Williams Renault"
"NC"	"Erik"	"Comas"	"COM"	"Larrousse Ford"
