"position"	"driverName"	"driverSurname"	"driverInitials"	"driverTeam"
"1"	"Damon"	"Hill"	"HIL"	"Williams Renault"
"2"	"Jean"	"Alesi"	"ALE"	"Benetton Renault"
"3"	"Michael"	"Schumacher"	"MSC"	"Ferrari"
"4"	"Mika"	"Hakkinen"	"HAK"	"McLaren Mercedes"
"5"	"Mika"	"Salo"	"SAL"	"Tyrrell Yamaha"
"6"	"Olivier"	"Panis"	"PAN"	"Ligier Mugen Honda"
"7"	"Eddie"	"Irvine"	"IRV"	"Ferrari"
"8"	"Pedro"	"Diniz"	"DIN"	"Ligier Mugen Honda"
"9"	"Ukyo"	"Katayama"	"KAT"	"Tyrrell Yamaha"
"10"	"Pedro"	"Lamy"	"LAM"	"Minardi Ford"
"11"	"Luca"	"Badoer"	"BAD"	"Forti Ford"
"12"	"Martin"	"Brundle"	"BRU"	"Jordan Peugeot"
"NC"	"Rubens"	"Barrichello"	"BAR"	"Jordan Peugeot"
"NC"	"Heinz-Harald"	"Frentzen"	"FRE"	"Sauber Ford"
"NC"	"David"	"Coulthard"	"COU"	"McLaren Mercedes"
"NC"	"Johnny"	"Herbert"	"HER"	"Sauber Ford"
"NC"	"Jacques"	"Villeneuve"	"VIL"	"Williams Renault"
"NC"	"Gerhard"	"Berger"	"BER"	"Benetton Renault"
"NC"	"Andrea"	"Montermini"	"MON"	"Forti Ford"
"NC"	"Ricardo"	"Rosset"	"ROS"	"Footwork Hart"
"NC"	"Jos"	"Verstappen"	"VER"	"Footwork Hart"
"NC"	"Tarso"	"Marques"	"MAR"	"Minardi Ford"
