"position"	"driverName"	"driverSurname"	"driverInitials"	"driverTeam"
"1"	"David"	"Coulthard"	"COU"	"McLaren Mercedes"
"2"	"Michael"	"Schumacher"	"MSC"	"Ferrari"
"3"	"Mika"	"Hakkinen"	"HAK"	"McLaren Mercedes"
"4"	"Gerhard"	"Berger"	"BER"	"Benetton Renault"
"5"	"Olivier"	"Panis"	"PAN"	"Prost Mugen Honda"
"6"	"Nicola"	"Larini"	"LAR"	"Sauber Petronas"
"7"	"Shinji"	"Nakano"	"NAK"	"Prost Mugen Honda"
"8"	"Heinz-Harald"	"Frentzen"	"FRE"	"Williams Renault"
"9"	"Jarno"	"Trulli"	"TRU"	"Minardi Hart"
"10"	"Pedro"	"Diniz"	"DIN"	"Arrows Yamaha"
"NC"	"Rubens"	"Barrichello"	"BAR"	"Stewart Ford"
"NC"	"Mika"	"Salo"	"SAL"	"Tyrrell Ford"
"NC"	"Jan"	"Magnussen"	"MAG"	"Stewart Ford"
"NC"	"Jean"	"Alesi"	"ALE"	"Benetton Renault"
"NC"	"Ukyo"	"Katayama"	"KAT"	"Minardi Hart"
"NC"	"Giancarlo"	"Fisichella"	"FIS"	"Jordan Peugeot"
"NC"	"Jos"	"Verstappen"	"VER"	"Tyrrell Ford"
"NC"	"Ralf"	"Schumacher"	"RSC"	"Jordan Peugeot"
"NC"	"Eddie"	"Irvine"	"IRV"	"Ferrari"
"NC"	"Jacques"	"Villeneuve"	"VIL"	"Williams Renault"
"NC"	"Johnny"	"Herbert"	"HER"	"Sauber Petronas"
"NC"	"Damon"	"Hill"	"HIL"	"Arrows Yamaha"
