"position"	"driverName"	"driverSurname"	"driverInitials"	"driverTeam"
"1"	"Michael"	"Schumacher"	"MSC"	"Ferrari"
"2"	"Ralf"	"Schumacher"	"RSC"	"Williams BMW"
"3"	"Rubens"	"Barrichello"	"BAR"	"Ferrari"
"4"	"David"	"Coulthard"	"COU"	"McLaren Mercedes"
"5"	"Jarno"	"Trulli"	"TRU"	"Jordan Honda"
"6"	"Nick"	"Heidfeld"	"HEI"	"Sauber Petronas"
"7"	"Kimi"	"Räikkönen"	"RAI"	"Sauber Petronas"
"8"	"Heinz-Harald"	"Frentzen"	"FRE"	"Jordan Honda"
"9"	"Olivier"	"Panis"	"PAN"	"BAR Honda"
"10"	"Luciano"	"Burti"	"BUR"	"Prost Acer"
"11"	"Giancarlo"	"Fisichella"	"FIS"	"Benetton Renault"
"12"	"Jean"	"Alesi"	"ALE"	"Prost Acer"
"13"	"Jos"	"Verstappen"	"VER"	"Arrows Asiatech"
"14"	"Pedro"	"de la Rosa"	"DLR"	"Jaguar Cosworth"
"15"	"Tarso"	"Marques"	"MAR"	"Minardi European"
"16"	"Jenson"	"Button"	"BUT"	"Benetton Renault"
"17"	"Fernando"	"Alonso"	"ALO"	"Minardi European"
"NC"	"Eddie"	"Irvine"	"IRV"	"Jaguar Cosworth"
"NC"	"Juan Pablo"	"Montoya"	"MOY"	"Williams BMW"
"NC"	"Enrique"	"Bernoldi"	"BER"	"Arrows Asiatech"
"NC"	"Jacques"	"Villeneuve"	"VIL"	"BAR Honda"
"NC"	"Mika"	"Hakkinen"	"HAK"	"McLaren Mercedes"
