"position"	"driverName"	"driverSurname"	"driverInitials"	"driverTeam"
"1"	"Michael"	"Schumacher"	"MSC"	"Ferrari"
"2"	"Rubens"	"Barrichello"	"BAR"	"Ferrari"
"3"	"David"	"Coulthard"	"COU"	"McLaren Mercedes"
"4"	"Heinz-Harald"	"Frentzen"	"FRE"	"Jordan Honda"
"5"	"Ralf"	"Schumacher"	"RSC"	"Williams BMW"
"6"	"Mika"	"Hakkinen"	"HAK"	"McLaren Mercedes"
"7"	"Jos"	"Verstappen"	"VER"	"Arrows Asiatech"
"8"	"Jarno"	"Trulli"	"TRU"	"Jordan Honda"
"9"	"Jean"	"Alesi"	"ALE"	"Prost Acer"
"10"	"Luciano"	"Burti"	"BUR"	"Jaguar Cosworth"
"11"	"Jenson"	"Button"	"BUT"	"Benetton Renault"
"12"	"Gaston"	"Mazzacane"	"MAZ"	"Prost Acer"
"13"	"Fernando"	"Alonso"	"ALO"	"Minardi European"
"14"	"Tarso"	"Marques"	"MAR"	"Minardi European"
"NC"	"Giancarlo"	"Fisichella"	"FIS"	"Benetton Renault"
"NC"	"Jacques"	"Villeneuve"	"VIL"	"BAR Honda"
"NC"	"Nick"	"Heidfeld"	"HEI"	"Sauber Petronas"
"NC"	"Enrique"	"Bernoldi"	"BER"	"Arrows Asiatech"
"NC"	"Juan Pablo"	"Montoya"	"MOY"	"Williams BMW"
"NC"	"Eddie"	"Irvine"	"IRV"	"Jaguar Cosworth"
"NC"	"Olivier"	"Panis"	"PAN"	"BAR Honda"
"NC"	"Kimi"	"Räikkönen"	"RAI"	"Sauber Petronas"
