"position"	"driverName"	"driverSurname"	"driverInitials"	"driverTeam"
"1"	"Felipe"	"Massa"	"MAS"	"Ferrari"
"2"	"Fernando"	"Alonso"	"ALO"	"Renault"
"3"	"Michael"	"Schumacher"	"MSC"	"Ferrari"
"4"	"Jenson"	"Button"	"BUT"	"Honda"
"5"	"Pedro"	"de la Rosa"	"DLR"	"McLaren Mercedes"
"6"	"Giancarlo"	"Fisichella"	"FIS"	"Renault"
"7"	"Ralf"	"Schumacher"	"RSC"	"Toyota"
"8"	"Rubens"	"Barrichello"	"BAR"	"Honda"
"9"	"Jarno"	"Trulli"	"TRU"	"Toyota"
"10"	"Mark"	"Webber"	"WEB"	"Williams Cosworth"
"11"	"Christian"	"Klien"	"KLI"	"RBR Ferrari"
"12"	"Robert"	"Kubica"	"KUB"	"Sauber BMW"
"13"	"Scott"	"Speed"	"SPE"	"STR Cosworth"
"14"	"Nick"	"Heidfeld"	"HEI"	"Sauber BMW"
"15"	"David"	"Coulthard"	"COU"	"RBR Ferrari"
"NC"	"Christijan"	"Albers"	"ALB"	"MF1 Toyota"
"NC"	"Takuma"	"Sato"	"SAT"	"Super Aguri Honda"
"NC"	"Nico"	"Rosberg"	"ROS"	"Williams Cosworth"
"NC"	"Sakon"	"Yamamoto"	"YAM"	"Super Aguri Honda"
"NC"	"Vitantonio"	"Liuzzi"	"LIU"	"STR Cosworth"
"NC"	"Kimi"	"Räikkönen"	"RAI"	"McLaren Mercedes"
"NC"	"Tiago"	"Monteiro"	"MON"	"MF1 Toyota"
