"position"	"driverName"	"driverSurname"	"driverInitials"	"driverTeam"
"1"	"Jenson"	"Button"	"BUT"	"Brawn Mercedes"
"2"	"Sebastian"	"Vettel"	"VET"	"RBR Renault"
"3"	"Jarno"	"Trulli"	"TRU"	"Toyota"
"4"	"Lewis"	"Hamilton"	"HAM"	"McLaren Mercedes"
"5"	"Rubens"	"Barrichello"	"BAR"	"Brawn Mercedes"
"6"	"Kimi"	"Räikkönen"	"RAI"	"Ferrari"
"7"	"Timo"	"Glock"	"GLO"	"Toyota"
"8"	"Fernando"	"Alonso"	"ALO"	"Renault"
"9"	"Nico"	"Rosberg"	"ROS"	"Williams Toyota"
"10"	"Nelson"	"Piquet Jr."	"PIQ"	"Renault"
"11"	"Mark"	"Webber"	"WEB"	"RBR Renault"
"12"	"Heikki"	"Kovalainen"	"KOV"	"McLaren Mercedes"
"13"	"Sebastien"	"Bourdais"	"BOU"	"STR Ferrari"
"14"	"Felipe"	"Massa"	"MAS"	"Ferrari"
"15"	"Giancarlo"	"Fisichella"	"FIS"	"Force India Mercedes"
"16"	"Adrian"	"Sutil"	"SUT"	"Force India Mercedes"
"17"	"Sebastien"	"Buemi"	"BUE"	"STR Ferrari"
"18"	"Robert"	"Kubica"	"KUB"	"Sauber BMW"
"19"	"Nick"	"Heidfeld"	"HEI"	"Sauber BMW"
"NC"	"Kazuki"	"Nakajima"	"NAK"	"Williams Toyota"
