"position"	"driverName"	"driverSurname"	"driverInitials"	"driverTeam"
"1"	"Fernando"	"Alonso"	"ALO"	"Ferrari"
"2"	"Jenson"	"Button"	"BUT"	"McLaren Mercedes"
"3"	"Felipe"	"Massa"	"MAS"	"Ferrari"
"4"	"Sebastian"	"Vettel"	"VET"	"RBR Renault"
"5"	"Nico"	"Rosberg"	"ROS"	"Mercedes"
"6"	"Mark"	"Webber"	"WEB"	"RBR Renault"
"7"	"Nico"	"Hulkenberg"	"HUL"	"Williams Cosworth"
"8"	"Robert"	"Kubica"	"KUB"	"Renault"
"9"	"Michael"	"Schumacher"	"MSC"	"Mercedes"
"10"	"Rubens"	"Barrichello"	"BAR"	"Williams Cosworth"
"11"	"Sebastien"	"Buemi"	"BUE"	"STR Ferrari"
"12"	"Vitantonio"	"Liuzzi"	"LIU"	"Force India Mercedes"
"13"	"Vitaly"	"Petrov"	"PET"	"Renault"
"14"	"Pedro"	"de la Rosa"	"DLR"	"Sauber Ferrari"
"15"	"Jaime"	"Alguersuari"	"ALG"	"STR Ferrari"
"16"	"Adrian"	"Sutil"	"SUT"	"Force India Mercedes"
"17"	"Timo"	"Glock"	"GLO"	"Virgin Cosworth"
"18"	"Heikki"	"Kovalainen"	"KOV"	"Lotus Cosworth"
"19"	"Sakon"	"Yamamoto"	"YAM"	"HRT Cosworth"
"20"	"Lucas"	"di Grassi"	"DIG"	"Virgin Cosworth"
"NC"	"Jarno"	"Trulli"	"TRU"	"Lotus Cosworth"
"NC"	"Bruno"	"Senna"	"SEN"	"HRT Cosworth"
"NC"	"Lewis"	"Hamilton"	"HAM"	"McLaren Mercedes"
"NC"	"Kamui"	"Kobayashi"	"KOB"	"Sauber Ferrari"
