"position"	"driverName"	"driverSurname"	"driverInitials"	"driverTeam"
"1"	"Lewis"	"Hamilton"	"HAM"	"McLaren Mercedes"
"2"	"Fernando"	"Alonso"	"ALO"	"Ferrari"
"3"	"Jenson"	"Button"	"BUT"	"McLaren Mercedes"
"4"	"Mark"	"Webber"	"WEB"	"Red Bull Racing Renault"
"5"	"Felipe"	"Massa"	"MAS"	"Ferrari"
"6"	"Nico"	"Rosberg"	"ROS"	"Mercedes"
"7"	"Michael"	"Schumacher"	"MSC"	"Mercedes"
"8"	"Adrian"	"Sutil"	"SUT"	"Force India Mercedes"
"9"	"Paul"	"di Resta"	"DIR"	"Force India Mercedes"
"10"	"Kamui"	"Kobayashi"	"KOB"	"Sauber Ferrari"
"11"	"Sergio"	"Perez"	"PER"	"Sauber Ferrari"
"12"	"Rubens"	"Barrichello"	"BAR"	"Williams Cosworth"
"13"	"Vitaly"	"Petrov"	"PET"	"Renault"
"14"	"Pastor"	"Maldonado"	"MAL"	"Williams Cosworth"
"15"	"Jaime"	"Alguersuari"	"ALG"	"STR Ferrari"
"16"	"Bruno"	"Senna"	"SEN"	"Renault"
"17"	"Heikki"	"Kovalainen"	"KOV"	"Lotus Renault"
"18"	"Jarno"	"Trulli"	"TRU"	"Lotus Renault"
"19"	"Timo"	"Glock"	"GLO"	"Virgin Cosworth"
"20"	"Vitantonio"	"Liuzzi"	"LIU"	"HRT Cosworth"
"NC"	"Daniel"	"Ricciardo"	"RIC"	"HRT Cosworth"
"NC"	"Sebastien"	"Buemi"	"BUE"	"STR Ferrari"
"NC"	"Jerome"	"d'Ambrosio"	"DAM"	"Virgin Cosworth"
"NC"	"Sebastian"	"Vettel"	"VET"	"Red Bull Racing Renault"
