"position"	"driverName"	"driverSurname"	"driverInitials"	"driverTeam"
"1"	"Sebastian"	"Vettel"	"VET"	"Red Bull Racing Renault"
"2"	"Fernando"	"Alonso"	"ALO"	"Ferrari"
"3"	"Mark"	"Webber"	"WEB"	"Red Bull Racing Renault"
"4"	"Lewis"	"Hamilton"	"HAM"	"McLaren Mercedes"
"5"	"Jenson"	"Button"	"BUT"	"McLaren Mercedes"
"6"	"Felipe"	"Massa"	"MAS"	"Ferrari"
"7"	"Kimi"	"Räikkönen"	"RAI"	"Lotus Renault"
"8"	"Nico"	"Hulkenberg"	"HUL"	"Force India Mercedes"
"9"	"Romain"	"Grosjean"	"GRO"	"Lotus Renault"
"10"	"Bruno"	"Senna"	"SEN"	"Williams Renault"
"11"	"Nico"	"Rosberg"	"ROS"	"Mercedes"
"12"	"Paul"	"di Resta"	"DIR"	"Force India Mercedes"
"13"	"Daniel"	"Ricciardo"	"RIC"	"STR Ferrari"
"14"	"Kamui"	"Kobayashi"	"KOB"	"Sauber Ferrari"
"15"	"Jean-Eric"	"Vergne"	"VER"	"STR Ferrari"
"16"	"Pastor"	"Maldonado"	"MAL"	"Williams Renault"
"17"	"Vitaly"	"Petrov"	"PET"	"Caterham Renault"
"18"	"Heikki"	"Kovalainen"	"KOV"	"Caterham Renault"
"19"	"Charles"	"Pic"	"PIC"	"Marussia Cosworth"
"20"	"Timo"	"Glock"	"GLO"	"Marussia Cosworth"
"21"	"Narain"	"Karthikeyan"	"KAR"	"HRT Cosworth"
"22"	"Michael"	"Schumacher"	"MSC"	"Mercedes"
"NC"	"Pedro"	"de la Rosa"	"DLR"	"HRT Cosworth"
"NC"	"Sergio"	"Perez"	"PER"	"Sauber Ferrari"
