"position"	"driverName"	"driverSurname"	"driverInitials"	"driverTeam"
"1"	"Sebastian"	"Vettel"	"VET"	"Red Bull Racing Renault"
"2"	"Fernando"	"Alonso"	"ALO"	"Ferrari"
"3"	"Kimi"	"Räikkönen"	"RAI"	"Lotus Renault"
"4"	"Nico"	"Rosberg"	"ROS"	"Mercedes"
"5"	"Lewis"	"Hamilton"	"HAM"	"Mercedes"
"6"	"Felipe"	"Massa"	"MAS"	"Ferrari"
"7"	"Jenson"	"Button"	"BUT"	"McLaren Mercedes"
"8"	"Sergio"	"Perez"	"PER"	"McLaren Mercedes"
"9"	"Nico"	"Hulkenberg"	"HUL"	"Sauber Ferrari"
"10"	"Adrian"	"Sutil"	"SUT"	"Force India Mercedes"
"11"	"Pastor"	"Maldonado"	"MAL"	"Williams Renault"
"12"	"Esteban"	"Gutierrez "	"GUT"	"Sauber Ferrari"
"13"	"Valtteri"	"Bottas"	"BOT"	"Williams Renault"
"14"	"Jean-Eric"	"Vergne"	"VER"	"STR Ferrari"
"15"	"Mark"	"Webber"	"WEB"	"Red Bull Racing Renault"
"16"	"Giedo"	"van der Garde"	"VDG"	"Caterham Renault"
"17"	"Max"	"Chilton"	"CHI"	"Marussia Cosworth"
"18"	"Jules"	"Bianchi"	"BIA"	"Marussia Cosworth"
"19"	"Charles"	"Pic"	"PIC"	"Caterham Renault"
"20"	"Paul"	"di Resta"	"DIR"	"Force India Mercedes"
"NC"	"Romain"	"Grosjean"	"GRO"	"Lotus Renault"
"NC"	"Daniel"	"Ricciardo"	"RIC"	"STR Ferrari"
