"position"	"driverName"	"driverSurname"	"driverInitials"	"driverTeam"
"1"	"Sebastian"	"Vettel"	"VET"	"Red Bull Racing Renault"
"2"	"Kimi"	"Räikkönen"	"RAI"	"Lotus Renault"
"3"	"Romain"	"Grosjean"	"GRO"	"Lotus Renault"
"4"	"Nico"	"Hulkenberg"	"HUL"	"Sauber Ferrari"
"5"	"Lewis"	"Hamilton"	"HAM"	"Mercedes"
"6"	"Fernando"	"Alonso"	"ALO"	"Ferrari"
"7"	"Nico"	"Rosberg"	"ROS"	"Mercedes"
"8"	"Jenson"	"Button"	"BUT"	"McLaren Mercedes"
"9"	"Felipe"	"Massa"	"MAS"	"Ferrari"
"10"	"Sergio"	"Perez"	"PER"	"McLaren Mercedes"
"11"	"Esteban"	"Gutierrez "	"GUT"	"Sauber Ferrari"
"12"	"Valtteri"	"Bottas"	"BOT"	"Williams Renault"
"13"	"Pastor"	"Maldonado"	"MAL"	"Williams Renault"
"14"	"Charles"	"Pic"	"PIC"	"Caterham Renault"
"15"	"Giedo"	"van der Garde"	"VDG"	"Caterham Renault"
"16"	"Jules"	"Bianchi"	"BIA"	"Marussia Cosworth"
"17"	"Max"	"Chilton"	"CHI"	"Marussia Cosworth"
"18"	"Jean-Eric"	"Vergne"	"VER"	"STR Ferrari"
"19"	"Daniel"	"Ricciardo"	"RIC"	"STR Ferrari"
"20"	"Adrian"	"Sutil"	"SUT"	"Force India Mercedes"
"NC"	"Mark"	"Webber"	"WEB"	"Red Bull Racing Renault"
"NC"	"Paul"	"di Resta"	"DIR"	"Force India Mercedes"
