"position"	"driverName"	"driverSurname"	"driverInitials"	"driverTeam"
"1"	"Lewis"	"Hamilton"	"HAM"	"Mercedes"
"2"	"Nico"	"Rosberg"	"ROS"	"Mercedes"
"3"	"Valtteri"	"Bottas"	"BOT"	"Williams Mercedes"
"4"	"Jenson"	"Button"	"BUT"	"McLaren Mercedes"
"5"	"Kevin"	"Magnussen"	"MAG"	"McLaren Mercedes"
"6"	"Fernando"	"Alonso"	"ALO"	"Ferrari"
"7"	"Daniel"	"Ricciardo"	"RIC"	"Red Bull Racing Renault"
"8"	"Sebastian"	"Vettel"	"VET"	"Red Bull Racing Renault"
"9"	"Kimi"	"Räikkönen"	"RAI"	"Ferrari"
"10"	"Sergio"	"Perez"	"PER"	"Force India Mercedes"
"11"	"Felipe"	"Massa"	"MAS"	"Williams Mercedes"
"12"	"Nico"	"Hulkenberg"	"HUL"	"Force India Mercedes"
"13"	"Jean-Eric"	"Vergne"	"VER"	"STR Renault"
"14"	"Daniil"	"Kvyat"	"KVY"	"STR Renault"
"15"	"Esteban"	"Gutierrez "	"GUT"	"Sauber Ferrari"
"16"	"Adrian"	"Sutil"	"SUT"	"Sauber Ferrari"
"17"	"Romain"	"Grosjean"	"GRO"	"Lotus Renault"
"18"	"Pastor"	"Maldonado"	"MAL"	"Lotus Renault"
"19"	"Marcus"	"Ericsson"	"ERI"	"Caterham Renault"
"NC"	"Kamui"	"Kobayashi"	"KOB"	"Caterham Renault"
"NC"	"Max"	"Chilton"	"CHI"	"Marussia Ferrari"
