"position"	"driverName"	"driverSurname"	"driverInitials"	"driverTeam"
"1"	"Lewis"	"Hamilton"	"HAM"	"Mercedes"
"2"	"Daniel"	"Ricciardo"	"RIC"	"Red Bull Racing TAG Heuer"
"3"	"Sergio"	"Perez"	"PER"	"Force India Mercedes"
"4"	"Sebastian"	"Vettel"	"VET"	"Ferrari"
"5"	"Fernando"	"Alonso"	"ALO"	"McLaren Honda"
"6"	"Nico"	"Hulkenberg"	"HUL"	"Force India Mercedes"
"7"	"Nico"	"Rosberg"	"ROS"	"Mercedes"
"8"	"Carlos"	"Sainz"	"SAI"	"Toro Rosso Ferrari"
"9"	"Jenson"	"Button"	"BUT"	"McLaren Honda"
"10"	"Felipe"	"Massa"	"MAS"	"Williams Mercedes"
"11"	"Esteban"	"Gutierrez "	"GUT"	"Haas Ferrari"
"12"	"Valtteri"	"Bottas"	"BOT"	"Williams Mercedes"
"13"	"Romain"	"Grosjean"	"GRO"	"Haas Ferrari"
"14"	"Pascal"	"Wehrlein"	"WEH"	"MRT Mercedes"
"15"	"Rio"	"Haryanto"	"HAR"	"MRT Mercedes"
"NC"	"Marcus"	"Ericsson"	"ERI"	"Sauber Ferrari"
"NC"	"Felipe"	"Nasr"	"NAS"	"Sauber Ferrari"
"NC"	"Max"	"Verstappen"	"VER"	"Red Bull Racing TAG Heuer"
"NC"	"Kevin"	"Magnussen"	"MAG"	"Renault"
"NC"	"Daniil"	"Kvyat"	"KVY"	"Toro Rosso Ferrari"
"NC"	"Kimi"	"Räikkönen"	"RAI"	"Ferrari"
"NC"	"Jolyon"	"Palmer"	"PAL"	"Renault"
