"position"	"driverName"	"driverSurname"	"driverInitials"	"driverTeam"
"1"	"Lewis"	"Hamilton"	"HAM"	"Mercedes"
"2"	"Sebastian"	"Vettel"	"VET"	"Ferrari"
"3"	"Max"	"Verstappen"	"VER"	"Red Bull Racing TAG Heuer"
"4"	"Daniel"	"Ricciardo"	"RIC"	"Red Bull Racing TAG Heuer"
"5"	"Kimi"	"Räikkönen"	"RAI"	"Ferrari"
"6"	"Valtteri"	"Bottas"	"BOT"	"Mercedes"
"7"	"Carlos"	"Sainz"	"SAI"	"Toro Rosso"
"8"	"Kevin"	"Magnussen"	"MAG"	"Haas Ferrari"
"9"	"Sergio"	"Perez"	"PER"	"Force India Mercedes"
"10"	"Esteban"	"Ocon"	"OCO"	"Force India Mercedes"
"11"	"Romain"	"Grosjean"	"GRO"	"Haas Ferrari"
"12"	"Nico"	"Hulkenberg"	"HUL"	"Renault"
"13"	"Jolyon"	"Palmer"	"PAL"	"Renault"
"14"	"Felipe"	"Massa"	"MAS"	"Williams Mercedes"
"15"	"Marcus"	"Ericsson"	"ERI"	"Sauber Ferrari"
"NC"	"Fernando"	"Alonso"	"ALO"	"McLaren Honda"
"NC"	"Daniil"	"Kvyat"	"KVY"	"Toro Rosso"
"NC"	"Stoffel"	"Vandoorne"	"VAN"	"McLaren Honda"
"NC"	"Antonio"	"Giovinazzi"	"GIO"	"Sauber Ferrari"
"NC"	"Lance"	"Stroll"	"STR"	"Williams Mercedes"
