"position"	"driverName"	"driverSurname"	"driverInitials"	"driverTeam"
"1"	"Lewis"	"Hamilton"	"HAM"	"Mercedes"
"2"	"Kimi"	"Räikkönen"	"RAI"	"Ferrari"
"3"	"Sergio"	"Perez"	"PER"	"Force India Mercedes"
"4"	"Sebastian"	"Vettel"	"VET"	"Ferrari"
"5"	"Carlos"	"Sainz"	"SAI"	"Renault"
"6"	"Charles"	"Leclerc"	"LEC"	"Sauber Ferrari"
"7"	"Fernando"	"Alonso"	"ALO"	"McLaren Renault"
"8"	"Lance"	"Stroll"	"STR"	"Williams Mercedes"
"9"	"Stoffel"	"Vandoorne"	"VAN"	"McLaren Renault"
"10"	"Brendon"	"Hartley"	"HAR"	"Scuderia Toro Rosso Honda"
"11"	"Marcus"	"Ericsson"	"ERI"	"Sauber Ferrari"
"12"	"Pierre"	"Gasly"	"GAS"	"Scuderia Toro Rosso Honda"
"13"	"Kevin"	"Magnussen"	"MAG"	"Haas Ferrari"
"14"	"Valtteri"	"Bottas"	"BOT"	"Mercedes"
"NC"	"Romain"	"Grosjean"	"GRO"	"Haas Ferrari"
"NC"	"Max"	"Verstappen"	"VER"	"Red Bull Racing TAG Heuer"
"NC"	"Daniel"	"Ricciardo"	"RIC"	"Red Bull Racing TAG Heuer"
"NC"	"Nico"	"Hulkenberg"	"HUL"	"Renault"
"NC"	"Esteban"	"Ocon"	"OCO"	"Force India Mercedes"
"NC"	"Sergey"	"Sirotkin"	"SIR"	"Williams Mercedes"
