"position"	"driverName"	"driverSurname"	"driverInitials"	"driverTeam"
"1"	"Max"	"Verstappen"	"VER"	"Red Bull Racing Honda"
"2"	"Lewis"	"Hamilton"	"HAM"	"Mercedes"
"3"	"Valtteri"	"Bottas"	"BOT"	"Mercedes"
"4"	"Charles"	"Leclerc"	"LEC"	"Ferrari"
"5"	"Alexander"	"Albon"	"ALB"	"Red Bull Racing Honda"
"6"	"Lance"	"Stroll"	"STR"	"Racing Point BWT Mercedes"
"7"	"Nico"	"Hulkenberg"	"HUL"	"Racing Point BWT Mercedes"
"8"	"Esteban"	"Ocon"	"OCO"	"Renault"
"9"	"Lando"	"Norris"	"NOR"	"McLaren Renault"
"10"	"Daniil"	"Kvyat"	"KVY"	"AlphaTauri Honda"
"11"	"Pierre"	"Gasly"	"GAS"	"AlphaTauri Honda"
"12"	"Sebastian"	"Vettel"	"VET"	"Ferrari"
"13"	"Carlos"	"Sainz"	"SAI"	"McLaren Renault"
"14"	"Daniel"	"Ricciardo"	"RIC"	"Renault"
"15"	"Kimi"	"Räikkönen"	"RAI"	"Alfa Romeo Racing Ferrari"
"16"	"Romain"	"Grosjean"	"GRO"	"Haas Ferrari"
"17"	"Antonio"	"Giovinazzi"	"GIO"	"Alfa Romeo Racing Ferrari"
"18"	"George"	"Russell"	"RUS"	"Williams Mercedes"
"19"	"Nicholas"	"Latifi"	"LAT"	"Williams Mercedes"
"NC"	"Kevin"	"Magnussen"	"MAG"	"Haas Ferrari"
