"position"	"driverName"	"driverSurname"	"driverInitials"	"driverTeam"
"1"	"Lewis"	"Hamilton"	"HAM"	"Mercedes"
"2"	"Valtteri"	"Bottas"	"BOT"	"Mercedes"
"3"	"Daniel"	"Ricciardo"	"RIC"	"Renault"
"4"	"Daniil"	"Kvyat"	"KVY"	"AlphaTauri Honda"
"5"	"Charles"	"Leclerc"	"LEC"	"Ferrari"
"6"	"Sergio"	"Perez"	"PER"	"Racing Point BWT Mercedes"
"7"	"Carlos"	"Sainz"	"SAI"	"McLaren Renault"
"8"	"Lando"	"Norris"	"NOR"	"McLaren Renault"
"9"	"Kimi"	"Räikkönen"	"RAI"	"Alfa Romeo Racing Ferrari"
"10"	"Antonio"	"Giovinazzi"	"GIO"	"Alfa Romeo Racing Ferrari"
"11"	"Nicholas"	"Latifi"	"LAT"	"Williams Mercedes"
"12"	"Sebastian"	"Vettel"	"VET"	"Ferrari"
"13"	"Lance"	"Stroll"	"STR"	"Racing Point BWT Mercedes"
"14"	"Romain"	"Grosjean"	"GRO"	"Haas Ferrari"
"15"	"Alexander"	"Albon"	"ALB"	"Red Bull Racing Honda"
"NC"	"George"	"Russell"	"RUS"	"Williams Mercedes"
"NC"	"Max"	"Verstappen"	"VER"	"Red Bull Racing Honda"
"NC"	"Kevin"	"Magnussen"	"MAG"	"Haas Ferrari"
"NC"	"Esteban"	"Ocon"	"OCO"	"Renault"
"NC"	"Pierre"	"Gasly"	"GAS"	"AlphaTauri Honda"
