"position"	"driverName"	"driverSurname"	"driverInitials"	"driverTeam"
"1"	"Lewis"	"Hamilton"	"HAM"	"Mercedes"
"2"	"Max"	"Verstappen"	"VER"	"Red Bull Racing Honda"
"3"	"Valtteri"	"Bottas"	"BOT"	"Mercedes"
"4"	"Lance"	"Stroll"	"STR"	"Racing Point BWT Mercedes"
"5"	"Alexander"	"Albon"	"ALB"	"Red Bull Racing Honda"
"6"	"Sebastian"	"Vettel"	"VET"	"Ferrari"
"7"	"Sergio"	"Perez"	"PER"	"Racing Point BWT Mercedes"
"8"	"Daniel"	"Ricciardo"	"RIC"	"Renault"
"9"	"Carlos"	"Sainz"	"SAI"	"McLaren Renault"
"10"	"Kevin"	"Magnussen"	"MAG"	"Haas Ferrari"
"11"	"Charles"	"Leclerc"	"LEC"	"Ferrari"
"12"	"Daniil"	"Kvyat"	"KVY"	"AlphaTauri Honda"
"13"	"Lando"	"Norris"	"NOR"	"McLaren Renault"
"14"	"Esteban"	"Ocon"	"OCO"	"Renault"
"15"	"Kimi"	"Räikkönen"	"RAI"	"Alfa Romeo Racing Ferrari"
"16"	"Romain"	"Grosjean"	"GRO"	"Haas Ferrari"
"17"	"Antonio"	"Giovinazzi"	"GIO"	"Alfa Romeo Racing Ferrari"
"18"	"George"	"Russell"	"RUS"	"Williams Mercedes"
"19"	"Nicholas"	"Latifi"	"LAT"	"Williams Mercedes"
"NC"	"Pierre"	"Gasly"	"GAS"	"AlphaTauri Honda"
