"position"	"driverName"	"driverSurname"	"driverInitials"	"driverTeam"
"1"	"Sergio"	"Perez"	"PER"	"Racing Point BWT Mercedes"
"2"	"Esteban"	"Ocon"	"OCO"	"Renault"
"3"	"Lance"	"Stroll"	"STR"	"Racing Point BWT Mercedes"
"4"	"Carlos"	"Sainz"	"SAI"	"McLaren Renault"
"5"	"Daniel"	"Ricciardo"	"RIC"	"Renault"
"6"	"Alexander"	"Albon"	"ALB"	"Red Bull Racing Honda"
"7"	"Daniil"	"Kvyat"	"KVY"	"AlphaTauri Honda"
"8"	"Valtteri"	"Bottas"	"BOT"	"Mercedes"
"9"	"George"	"Russell"	"RUS"	"Mercedes"
"10"	"Lando"	"Norris"	"NOR"	"McLaren Renault"
"11"	"Pierre"	"Gasly"	"GAS"	"AlphaTauri Honda"
"12"	"Sebastian"	"Vettel"	"VET"	"Ferrari"
"13"	"Antonio"	"Giovinazzi"	"GIO"	"Alfa Romeo Racing Ferrari"
"14"	"Kimi"	"Räikkönen"	"RAI"	"Alfa Romeo Racing Ferrari"
"15"	"Kevin"	"Magnussen"	"MAG"	"Haas Ferrari"
"16"	"Jack"	"Aitken"	"AIT"	"Williams Mercedes"
"17"	"Pietro"	"Fittipaldi"	"FIT"	"Haas Ferrari"
"NC"	"Nicholas"	"Latifi"	"LAT"	"Williams Mercedes"
"NC"	"Max"	"Verstappen"	"VER"	"Red Bull Racing Honda"
"NC"	"Charles"	"Leclerc"	"LEC"	"Ferrari"
