"position"	"driverName"	"driverSurname"	"driverInitials"	"driverTeam"
"1"	"Lewis"	"Hamilton"	"HAM"	"Mercedes"
"2"	"Valtteri"	"Bottas"	"BOT"	"Mercedes"
"3"	"Alexander"	"Albon"	"ALB"	"Red Bull Racing Honda"
"4"	"Daniel"	"Ricciardo"	"RIC"	"Renault"
"5"	"Sergio"	"Perez"	"PER"	"Racing Point BWT Mercedes"
"6"	"Lando"	"Norris"	"NOR"	"McLaren Renault"
"7"	"Daniil"	"Kvyat"	"KVY"	"AlphaTauri Honda"
"8"	"Charles"	"Leclerc"	"LEC"	"Ferrari"
"9"	"Kimi"	"Räikkönen"	"RAI"	"Alfa Romeo Racing Ferrari"
"10"	"Sebastian"	"Vettel"	"VET"	"Ferrari"
"11"	"George"	"Russell"	"RUS"	"Williams Mercedes"
"12"	"Romain"	"Grosjean"	"GRO"	"Haas Ferrari"
"NC"	"Lance"	"Stroll"	"STR"	"Racing Point BWT Mercedes"
"NC"	"Esteban"	"Ocon"	"OCO"	"Renault"
"NC"	"Nicholas"	"Latifi"	"LAT"	"Williams Mercedes"
"NC"	"Kevin"	"Magnussen"	"MAG"	"Haas Ferrari"
"NC"	"Antonio"	"Giovinazzi"	"GIO"	"Alfa Romeo Racing Ferrari"
"NC"	"Carlos"	"Sainz"	"SAI"	"McLaren Renault"
"NC"	"Max"	"Verstappen"	"VER"	"Red Bull Racing Honda"
"NC"	"Pierre"	"Gasly"	"GAS"	"AlphaTauri Honda"
