"position"	"driverName"	"driverSurname"	"driverInitials"	"driverTeam"
"1"	"Lewis"	"Hamilton"	"HAM"	"Mercedes"
"2"	"Max"	"Verstappen"	"VER"	"Red Bull Racing Honda"
"3"	"Valtteri"	"Bottas"	"BOT"	"Mercedes"
"4"	"Esteban"	"Ocon"	"OCO"	"Alpine Renault"
"5"	"Daniel"	"Ricciardo"	"RIC"	"McLaren Mercedes"
"6"	"Pierre"	"Gasly"	"GAS"	"AlphaTauri Honda"
"7"	"Charles"	"Leclerc"	"LEC"	"Ferrari"
"8"	"Carlos"	"Sainz"	"SAI"	"Ferrari"
"9"	"Antonio"	"Giovinazzi"	"GIO"	"Alfa Romeo Racing Ferrari"
"10"	"Lando"	"Norris"	"NOR"	"McLaren Mercedes"
"11"	"Lance"	"Stroll"	"STR"	"Aston Martin Mercedes"
"12"	"Nicholas"	"Latifi"	"LAT"	"Williams Mercedes"
"13"	"Fernando"	"Alonso"	"ALO"	"Alpine Renault"
"14"	"Yuki"	"Tsunoda"	"TSU"	"AlphaTauri Honda"
"15"	"Kimi"	"Räikkönen"	"RAI"	"Alfa Romeo Racing Ferrari"
"NC"	"Sebastian"	"Vettel"	"VET"	"Aston Martin Mercedes"
"NC"	"Sergio"	"Perez"	"PER"	"Red Bull Racing Honda"
"NC"	"Nikita"	"Mazepin"	"MAZ"	"Haas Ferrari"
"NC"	"George"	"Russell"	"RUS"	"Williams Mercedes"
"NC"	"Mick"	"Schumacher"	"MSC"	"Haas Ferrari"
