"position"	"driverName"	"driverSurname"	"driverInitials"	"driverTeam"
"1"	"Max"	"Verstappen"	"VER"	"Red Bull Racing Honda"
"2"	"Lewis"	"Hamilton"	"HAM"	"Mercedes"
"3"	"Sergio"	"Perez"	"PER"	"Red Bull Racing Honda"
"4"	"Charles"	"Leclerc"	"LEC"	"Ferrari"
"5"	"Daniel"	"Ricciardo"	"RIC"	"McLaren Mercedes"
"6"	"Valtteri"	"Bottas"	"BOT"	"Mercedes"
"7"	"Carlos"	"Sainz"	"SAI"	"Ferrari"
"8"	"Lando"	"Norris"	"NOR"	"McLaren Mercedes"
"9"	"Yuki"	"Tsunoda"	"TSU"	"AlphaTauri Honda"
"10"	"Sebastian"	"Vettel"	"VET"	"Aston Martin Mercedes"
"11"	"Antonio"	"Giovinazzi"	"GIO"	"Alfa Romeo Racing Ferrari"
"12"	"Lance"	"Stroll"	"STR"	"Aston Martin Mercedes"
"13"	"Kimi"	"Räikkönen"	"RAI"	"Alfa Romeo Racing Ferrari"
"14"	"George"	"Russell"	"RUS"	"Williams Mercedes"
"15"	"Nicholas"	"Latifi"	"LAT"	"Williams Mercedes"
"16"	"Mick"	"Schumacher"	"MSC"	"Haas Ferrari"
"17"	"Nikita"	"Mazepin"	"MAZ"	"Haas Ferrari"
"NC"	"Fernando"	"Alonso"	"ALO"	"Alpine Renault"
"NC"	"Esteban"	"Ocon"	"OCO"	"Alpine Renault"
"NC"	"Pierre"	"Gasly"	"GAS"	"AlphaTauri Honda"
