"position"	"driverName"	"driverSurname"	"driverInitials"	"driverTeam"
"1"	"Walt "	"Faulkner"	"FAU"	"Kurtis Kraft Offenhauser"
"2"	"Fred"	"Agabashian"	"AGA"	"Kurtis Kraft Offenhauser"
"3"	"Mauri "	"Rose"	"ROS"	"Deidt Offenhauser"
"4"	"George"	"Connor"	"CON"	"Moore Offenhauser"
"5"	"Johnnie "	"Parsons"	"PAR"	"Kurtis Kraft Offenhauser"
"6"	"Jack"	"McGrath"	"MCG"	"Kurtis Kraft Offenhauser"
"7"	"Duke"	"Dinsmore"	"DIN"	"Kurtis Kraft Offenhauser"
"8"	"Tony "	"Bettenhausen"	"BET"	"Moore Offenhauser"
"9"	"Joie "	"Chitwood"	"CHI"	"Kurtis Kraft Offenhauser"
"10"	"Bill"	"Holland"	"HOL"	"Moore Offenhauser"
"11"	"Pat"	"Flaherty"	"FLA"	"Kurtis Kraft Offenhauser"
"12"	"Cecil "	"Green"	"GRE"	"Kurtis Kraft Offenhauser"
"13"	"Duane"	"Carter"	"CAR"	"Stevens Offenhauser"
"14"	"Spider"	"Webb"	"WEB"	"Maserati Offenhauser"
"15"	"Jerry "	"Hoyt"	"HOY"	"Kurtis Kraft Offenhauser"
"16"	"Myron"	"Fohr"	"FOH"	"Kurtis Kraft Offenhauser"
"17"	"Bayliss"	"Levrett"	"LEV"	"Adams Offenhauser"
"18"	"Dick"	"Rathmann"	"RAT"	"Watson Offenhauser"
"19"	"Paul"	"Russo"	"RUS"	"Nichels Offenhauser"
"20"	"Walt"	"Brown"	"BRO"	"Kurtis Kraft Offenhauser"
"21"	"Henry"	"Banks"	"BAN"	"Maserati Offenhauser"
"22"	"Bill"	"Schindler"	"SCH"	"Snowberger Offenhauser"
"23"	"Lee"	"Wallard"	"WAL"	"Moore Offenhauser"
"24"	"Troy"	"Ruttman"	"RUT"	"Lesovsky Offenhauser"
"25"	"Sam"	"Hanks"	"HAN"	"Kurtis Kraft Offenhauser"
"26"	"Mack"	"Hellings"	"HEL"	"Kurtis Kraft Offenhauser"
"27"	"Jimmy"	"Davies"	"DAV"	"Ewing Offenhauser"
"28"	"Jim"	"Rathmann"	"RAT"	"Wetteroth Offerhauser"
"29"	"Walt"	"Ader"	"ADE"	"Rae Offenhauser"
"30"	"Jackie"	"Holmes"	"HOL"	"Olson Offenhauser"
"31"	"Gene"	"Hartley"	"HAR"	"Langley Offenhauser"
"32"	"Jimmy"	"Jackson"	"JAC"	"Kurtis Kraft Cummins"
"33"	"Johnny"	"McDowell"	"MCD"	"Kurtis Kraft Offenhauser"
