"position"	"driverName"	"driverSurname"	"driverInitials"	"driverTeam"
"1"	"Jack"	"Brabham"	"BRA"	"Cooper Climax"
"2"	"Graham"	"Hill"	"HIL"	"BRM Climax"
"3"	"Stirling"	"Moss"	"MOS"	"Lotus Climax"
"4"	"Bruce"	"McLaren"	"MCL"	"Cooper Climax"
"5"	"Jim"	"Clark"	"CLA"	"Lotus Climax"
"6"	"Tony"	"Brooks"	"BRO"	"BRM Climax"
"7"	"Dan"	"Gurney"	"GUR"	"Porsche"
"8"	"Innes"	"Ireland"	"IRE"	"Lotus Climax"
"9"	"John"	"Surtees"	"SUR"	"Cooper Climax"
"10"	"Jo"	"Bonnier"	"BON"	"Porsche"
"11"	"Masten"	"Gregory"	"GRE"	"Lotus Climax"
"12"	"Roy"	"Salvadori"	"SAL"	"Cooper Climax"
"13"	"Peter  "	"Ryan"	"RYA"	"Lotus Climax"
"14"	"Walt  "	"Hansgen"	"HAN"	"Lotus Climax"
"15"	"Olivier "	"Gendebien"	"GEN"	"Lotus Climax"
"16"	"Roger "	"Penske "	"PEN"	"Cooper Climax"
"17"	"Hap "	"Sharp "	"SHA"	"Cooper Climax"
"18"	"Jim "	"Hall "	"HAL"	"Lotus Climax"
"19"	"Lloyd "	"Ruby "	"RUB"	"Lotus Climax"
