"position"	"driverName"	"driverSurname"	"driverInitials"	"driverTeam"
"1"	"Jim"	"Clark"	"CLA"	"Lotus Climax"
"2"	"Graham"	"Hill"	"HIL"	"BRM"
"3"	"Dan"	"Gurney"	"GUR"	"Brabham Ford"
"4"	"Jack"	"Brabham"	"BRA"	"Brabham Ford"
"5"	"John"	"Surtees"	"SUR"	"Ferrari"
"6"	"Bruce"	"McLaren"	"MCL"	"Cooper Climax"
"7"	"Bob"	"Anderson"	"AND"	"Brabham Climax"
"8"	"Lorenzo"	"Bandini"	"BAN"	"Ferrari"
"9"	"Jo"	"Bonnier"	"BON"	"Cooper Climax"
"10"	"Innes"	"Ireland"	"IRE"	"Lotus BRM"
"11"	"Chris"	"Amon"	"AMO"	"Lotus BRM"
"12"	"Mike"	"Hailwood"	"HAI"	"Lotus BRM"
"13"	"Mike"	"Spence"	"SPE"	"Lotus Climax"
"14"	"Richie"	"Ginther"	"GIN"	"BRM"
"15"	"Phil"	"Hill"	"HIL"	"Cooper Climax"
"16"	"Jo"	"Siffert"	"SIF"	"Lotus BRM"
"17"	"Ian"	"Raby"	"RAB"	"Brabham BRM"
"18"	"Trevor "	"Taylor "	"TAY"	"Lotus BRM"
"19"	"Frank"	"Gardner"	"GAR"	"Brabham Ford"
"20"	"John "	"Taylor "	"TAY"	"Cooper Ford"
"21"	"Giancarlo"	"Baghetti"	"BAG"	"BRM"
"22"	"Peter  "	"Revson"	"REV"	"Lotus BRM"
"23"	"Tony"	"Maggs"	"MAG"	"BRM"
