"position"	"driverName"	"driverSurname"	"driverInitials"	"driverTeam"
"1"	"Graham"	"Hill"	"HIL"	"Lotus Ford"
"2"	"Johnny "	"Servoz-Gavin "	"SER"	"Matra Ford"
"3"	"Jo"	"Siffert"	"SIF"	"Cooper Maserati"
"4"	"John"	"Surtees"	"SUR"	"Honda"
"5"	"Jochen"	"Rindt"	"RIN"	"Brabham Climax"
"6"	"Richard"	"Attwood"	"ATT"	"BRM"
"7"	"Bruce"	"McLaren"	"MCL"	"McLaren Ford"
"8"	"Jean-Pierre"	"Beltoise"	"BEL"	"Matra Ford"
"9"	"Pedro"	"Rodriguez"	"ROD"	"BRM"
"10"	"Denny"	"Hulme"	"HUL"	"McLaren Ford"
"11"	"Piers  "	"Courage"	"COU"	"BRM"
"12"	"Jack"	"Brabham"	"BRA"	"Brabham Climax"
"13"	"Jackie"	"Oliver"	"OLI"	"Lotus Ford"
"14"	"Lucien"	"Bianchi"	"BIA"	"Cooper BRM"
"15"	"Ludovico"	"Scarfiotti"	"SCA"	"Cooper BRM"
"16"	"Dan"	"Gurney"	"GUR"	"McLaren Ford"
