"position"	"driverName"	"driverSurname"	"driverInitials"	"driverTeam"
"1"	"Jochen"	"Rindt"	"RIN"	"Lotus Ford"
"2"	"Jackie"	"Stewart"	"STE"	"Tyrrell Ford"
"3"	"Jacky"	"Ickx"	"ICK"	"Ferrari"
"4"	"Chris"	"Amon"	"AMO"	"March Ford"
"5"	"Jackie"	"Oliver"	"OLI"	"BRM"
"6"	"Clay"	"Regazzoni"	"REG"	"Ferrari"
"7"	"Pedro"	"Rodriguez"	"ROD"	"BRM"
"8"	"John  "	"Miles"	"MIL"	"Lotus Ford"
"9"	"Piers  "	"Courage"	"COU"	"De Tomaso Ford"
"10"	"Jean-Pierre"	"Beltoise"	"BEL"	"Matra"
"11"	"Peter "	"Gethin "	"GET"	"McLaren Alfa Romeo"
"12"	"Jack"	"Brabham"	"BRA"	"Brabham Ford"
"13"	"Henri"	"Pescarolo"	"PES"	"Matra"
"14"	"John"	"Surtees"	"SUR"	"McLaren Ford"
"15"	"Francois "	"Cevert "	"CEV"	"Tyrrell Ford"
"16"	"Ronnie"	"Peterson"	"PET"	"March Ford"
"17"	"Jo"	"Siffert"	"SIF"	"March Ford"
"18"	"George"	"Eaton"	"EAT"	"BRM"
"19"	"Dan"	"Gurney"	"GUR"	"McLaren Alfa Romeo"
"20"	"Graham"	"Hill"	"HIL"	"Lotus Ford"
