"position"	"driverName"	"driverSurname"	"driverInitials"	"driverTeam"
"1"	"Jackie"	"Stewart"	"STE"	"Tyrrell Ford"
"2"	"Chris"	"Amon"	"AMO"	"March Ford"
"3"	"Jack"	"Brabham"	"BRA"	"Brabham Ford"
"4"	"Jochen"	"Rindt"	"RIN"	"Lotus Ford"
"5"	"Jacky"	"Ickx"	"ICK"	"Ferrari"
"6"	"Denny"	"Hulme"	"HUL"	"McLaren Alfa Romeo"
"7"	"John"	"Surtees"	"SUR"	"McLaren Ford"
"8"	"Jean-Pierre"	"Beltoise"	"BEL"	"Matra"
"9"	"Jo"	"Siffert"	"SIF"	"March Ford"
"10"	"Bruce"	"McLaren"	"MCL"	"McLaren Alfa Romeo"
"11"	"Mario"	"Andretti"	"AND"	"March Ford"
"12"	"Jackie"	"Oliver"	"OLI"	"BRM"
"13"	"Dave"	"Charlton"	"CHA"	"Lotus Ford"
"14"	"John  "	"Miles"	"MIL"	"Lotus Ford"
"15"	"Rolf"	"Stommelen"	"STO"	"Brabham Ford"
"16"	"Pedro"	"Rodriguez"	"ROD"	"BRM"
"17"	"Johnny "	"Servoz-Gavin "	"SER"	"Tyrrell Ford"
"18"	"Henri"	"Pescarolo"	"PES"	"Matra"
"19"	"Graham"	"Hill"	"HIL"	"Lotus Ford"
"20"	"Piers  "	"Courage"	"COU"	"De Tomaso Ford"
"21"	"Peter"	"de Klerk"	"DEK"	"Lotus Ford"
"22"	"John"	"Love"	"LOV"	"Lotus Ford"
"23"	"George"	"Eaton"	"EAT"	"BRM"
