"position"	"driverName"	"driverSurname"	"driverInitials"	"driverTeam"
"1"	"Clay"	"Regazzoni"	"REG"	"BRM"
"2"	"Emerson"	"Fittipaldi"	"FIT"	"Lotus Ford"
"3"	"Jacky"	"Ickx"	"ICK"	"Ferrari"
"4"	"Jackie"	"Stewart"	"STE"	"Tyrrell Ford"
"5"	"Ronnie"	"Peterson"	"PET"	"Lotus Ford"
"6"	"Francois "	"Cevert "	"CEV"	"Tyrrell Ford"
"7"	"Jean-Pierre"	"Beltoise"	"BEL"	"BRM"
"8"	"Denny"	"Hulme"	"HUL"	"McLaren Ford"
"9"	"Carlos"	"Reutemann"	"REU"	"Brabham Ford"
"10"	"Mike"	"Hailwood"	"HAI"	"Surtees Ford"
"11"	"Peter  "	"Revson"	"REV"	"McLaren Ford"
"12"	"Wilson"	"Fittipaldi"	"FIT"	"Brabham Ford"
"13"	"Niki"	"Lauda"	"LAU"	"BRM"
"14"	"Arturo"	"Merzario"	"MER"	"Ferrari"
"15"	"Carlos"	"Pace"	"PAC"	"Surtees Ford"
"16"	"Nanni "	"Galli "	"GAL"	"Iso Marlboro Ford"
"17"	"Jean-Pierre"	"Jarier"	"JAR"	"March Ford"
"18"	"Mike "	"Beuttler "	"BEU"	"March Ford"
"19"	"Howden "	"Ganley "	"GAN"	"Iso Marlboro Ford"
