"position"	"driverName"	"driverSurname"	"driverInitials"	"driverTeam"
"1"	"Ronnie"	"Peterson"	"PET"	"Lotus Ford"
"2"	"Francois "	"Cevert "	"CEV"	"Tyrrell Ford"
"3"	"Jackie"	"Stewart"	"STE"	"Tyrrell Ford"
"4"	"Emerson"	"Fittipaldi"	"FIT"	"Lotus Ford"
"5"	"Carlos"	"Reutemann"	"REU"	"Brabham Ford"
"6"	"Denny"	"Hulme"	"HUL"	"McLaren Ford"
"7"	"Peter  "	"Revson"	"REV"	"McLaren Ford"
"8"	"Jacky"	"Ickx"	"ICK"	"Ferrari"
"9"	"Jean-Pierre"	"Beltoise"	"BEL"	"BRM"
"10"	"Mike"	"Hailwood"	"HAI"	"Surtees Ford"
"11"	"Howden "	"Ganley "	"GAN"	"Iso Marlboro Ford"
"12"	"Clay"	"Regazzoni"	"REG"	"BRM"
"13"	"Wilson"	"Fittipaldi"	"FIT"	"Brabham Ford"
"14"	"Reine  "	"Wisell"	"WIS"	"March Ford"
"15"	"Niki"	"Lauda"	"LAU"	"BRM"
"16"	"Carlos"	"Pace"	"PAC"	"Surtees Ford"
"17"	"Jackie"	"Oliver"	"OLI"	"Shadow Ford"
"18"	"Graham"	"Hill"	"HIL"	"Shadow Ford"
"19"	"George "	"Follmer "	"FOL"	"Shadow Ford"
"20"	"Jean-Pierre"	"Jarier"	"JAR"	"March Ford"
"21"	"Mike "	"Beuttler "	"BEU"	"March Ford"
