"position"	"driverName"	"driverSurname"	"driverInitials"	"driverTeam"
"1"	"Niki"	"Lauda"	"LAU"	"Ferrari"
"2"	"Carlos"	"Pace"	"PAC"	"Brabham Ford"
"3"	"Jody"	"Scheckter"	"SCH"	"Tyrrell Ford"
"4"	"Patrick"	"Depailler"	"DEP"	"Tyrrell Ford"
"5"	"Clay"	"Regazzoni"	"REG"	"Ferrari"
"6"	"Jochen"	"Mass"	"MAS"	"McLaren Ford"
"7"	"Hans-Joachim"	"Stuck"	"STU"	"March Ford"
"8"	"Emerson"	"Fittipaldi"	"FIT"	"McLaren Ford"
"9"	"James"	"Hunt"	"HUN"	"Hesketh Ford"
"10"	"Carlos"	"Reutemann"	"REU"	"Brabham Ford"
"11"	"Vittorio"	"Brambilla"	"BRA"	"March Ford"
"12"	"Jean-Pierre"	"Jarier"	"JAR"	"Shadow Matra"
"13"	"Mario"	"Andretti"	"AND"	"Parnelli Ford"
"14"	"John"	"Watson"	"WAT"	"Lotus Ford"
"15"	"Jacques"	"Laffite"	"LAF"	"Frank Williams Racing Cars/Williams"
"16"	"Tom"	"Pryce"	"PRY"	"Shadow Matra"
"17"	"Tony"	"Brise"	"BRI"	"Lola Ford"
"18"	"Ronnie"	"Peterson"	"PET"	"Lotus Ford"
"19"	"Mark"	"Donohue"	"DON"	"March Ford"
"20"	"Ian"	"Ashley"	"ASH"	"Frank Williams Racing Cars/Williams"
"21"	"Alan "	"Jones"	"JON"	"Lola Ford"
"22"	"Wilson"	"Fittipaldi"	"FIT"	"Fittipaldi Ford"
"23"	"Harald"	"Ertl"	"ERT"	"Hesketh Ford"
"24"	"Gijs"	"van Lennep"	"VAN"	"Ensign Ford"
"25"	"Lella"	"Lombardi"	"LOM"	"March Ford"
