"position"	"driverName"	"driverSurname"	"driverInitials"	"driverTeam"
"1"	"Mario"	"Andretti"	"AND"	"Lotus Ford"
"2"	"Ronnie"	"Peterson"	"PET"	"Lotus Ford"
"3"	"Carlos"	"Reutemann"	"REU"	"Ferrari"
"4"	"James"	"Hunt"	"HUN"	"McLaren Ford"
"5"	"Gilles"	"Villeneuve"	"VIL"	"Ferrari"
"6"	"Niki"	"Lauda"	"LAU"	"Brabham Alfa Romeo"
"7"	"John"	"Watson"	"WAT"	"Brabham Alfa Romeo"
"8"	"Riccardo"	"Patrese"	"PAT"	"Arrows Ford"
"9"	"Jody"	"Scheckter"	"SCH"	"Wolf Ford"
"10"	"Jacques"	"Laffite"	"LAF"	"Ligier Matra"
"11"	"Jean-Pierre"	"Jabouille"	"JAB"	"Renault"
"12"	"Patrick"	"Depailler"	"DEP"	"Tyrrell Ford"
"13"	"Didier"	"Pironi"	"PIR"	"Tyrrell Ford"
"14"	"Patrick"	"Tambay"	"TAM"	"McLaren Ford"
"15"	"Emerson"	"Fittipaldi"	"FIT"	"Fittipaldi Ford"
"16"	"Vittorio"	"Brambilla"	"BRA"	"Surtees Ford"
"17"	"Jochen"	"Mass"	"MAS"	"ATS Ford"
"18"	"Alan "	"Jones"	"JON"	"Williams Ford"
"19"	"Rolf"	"Stommelen"	"STO"	"Arrows Ford"
"20"	"Hector"	"Rebaque"	"REB"	"Lotus Ford"
"21"	"Jacky"	"Ickx"	"ICK"	"Ensign Ford"
"22"	"Clay"	"Regazzoni"	"REG"	"Shadow Ford"
"23"	"Rupert"	"Keegan"	"KEE"	"Surtees Ford"
"24"	"Hans-Joachim"	"Stuck"	"STU"	"Shadow Ford"
