"position"	"driverName"	"driverSurname"	"driverInitials"	"driverTeam"
"1"	"Jean-Pierre"	"Jabouille"	"JAB"	"Renault"
"2"	"Rene"	"Arnoux"	"ARN"	"Renault"
"3"	"Gilles"	"Villeneuve"	"VIL"	"Ferrari"
"4"	"Nelson"	"Piquet"	"PIQ"	"Brabham Ford"
"5"	"Jody"	"Scheckter"	"SCH"	"Ferrari"
"6"	"Niki"	"Lauda"	"LAU"	"Brabham Ford"
"7"	"Alan "	"Jones"	"JON"	"Williams Ford"
"8"	"Jacques"	"Laffite"	"LAF"	"Ligier Ford"
"9"	"Clay"	"Regazzoni"	"REG"	"Williams Ford"
"10"	"Jean-Pierre"	"Jarier"	"JAR"	"Tyrrell Ford"
"11"	"Didier"	"Pironi"	"PIR"	"Tyrrell Ford"
"12"	"Mario"	"Andretti"	"AND"	"Lotus Ford"
"13"	"Carlos"	"Reutemann"	"REU"	"Lotus Ford"
"14"	"Jacky"	"Ickx"	"ICK"	"Ligier Ford"
"15"	"John"	"Watson"	"WAT"	"McLaren Ford"
"16"	"Keke"	"Rosberg"	"ROS"	"Wolf Ford"
"17"	"Bruno"	"Giacomelli"	"GIA"	"Alfa Romeo"
"18"	"Emerson"	"Fittipaldi"	"FIT"	"Fittipaldi Ford"
"19"	"Riccardo"	"Patrese"	"PAT"	"Arrows Ford"
"20"	"Patrick"	"Tambay"	"TAM"	"McLaren Ford"
"21"	"Jan"	"Lammers"	"LAM"	"Shadow Ford"
"22"	"Jochen"	"Mass"	"MAS"	"Arrows Ford"
"23"	"Hector"	"Rebaque"	"REB"	"Lotus Ford"
"24"	"Elio"	"de Angelis"	"DEA"	"Shadow Ford"
"25"	"Hans-Joachim"	"Stuck"	"STU"	"ATS Ford"
