"position"	"driverName"	"driverSurname"	"driverInitials"	"driverTeam"
"1"	"Gilles"	"Villeneuve"	"VIL"	"Ferrari"
"2"	"Carlos"	"Reutemann"	"REU"	"Lotus Ford"
"3"	"Jody"	"Scheckter"	"SCH"	"Ferrari"
"4"	"Patrick"	"Depailler"	"DEP"	"Ligier Ford"
"5"	"Jacques"	"Laffite"	"LAF"	"Ligier Ford"
"6"	"Mario"	"Andretti"	"AND"	"Lotus Ford"
"7"	"Jean-Pierre"	"Jarier"	"JAR"	"Tyrrell Ford"
"8"	"James"	"Hunt"	"HUN"	"Wolf Ford"
"9"	"Riccardo"	"Patrese"	"PAT"	"Arrows Ford"
"10"	"Alan "	"Jones"	"JON"	"Williams Ford"
"11"	"Niki"	"Lauda"	"LAU"	"Brabham Ford"
"12"	"Nelson"	"Piquet"	"PIQ"	"Brabham Ford"
"13"	"Jochen"	"Mass"	"MAS"	"Arrows Ford"
"14"	"Jan"	"Lammers"	"LAM"	"Shadow Ford"
"15"	"Clay"	"Regazzoni"	"REG"	"Williams Ford"
"16"	"Emerson"	"Fittipaldi"	"FIT"	"Fittipaldi Ford"
"17"	"Didier"	"Pironi"	"PIR"	"Tyrrell Ford"
"18"	"John"	"Watson"	"WAT"	"McLaren Ford"
"19"	"Patrick"	"Tambay"	"TAM"	"McLaren Ford"
"20"	"Elio"	"de Angelis"	"DEA"	"Shadow Ford"
"21"	"Hans-Joachim"	"Stuck"	"STU"	"ATS Ford"
"22"	"Arturo"	"Merzario"	"MER"	"Merzario Ford"
"23"	"Hector"	"Rebaque"	"REB"	"Lotus Ford"
"24"	"Derek"	"Daly"	"DAL"	"Ensign Ford"
"25"	"Jean-Pierre"	"Jabouille"	"JAB"	"Renault"
"26"	"Rene"	"Arnoux"	"ARN"	"Renault"
