"position"	"driverName"	"driverSurname"	"driverInitials"	"driverTeam"
"1"	"Bruno"	"Giacomelli"	"GIA"	"Alfa Romeo"
"2"	"Nelson"	"Piquet"	"PIQ"	"Brabham Ford"
"3"	"Carlos"	"Reutemann"	"REU"	"Williams Ford"
"4"	"Elio"	"de Angelis"	"DEA"	"Lotus Ford"
"5"	"Alan "	"Jones"	"JON"	"Williams Ford"
"6"	"Rene"	"Arnoux"	"ARN"	"Renault"
"7"	"Didier"	"Pironi"	"PIR"	"Ligier Ford"
"8"	"Hector"	"Rebaque"	"REB"	"Brabham Ford"
"9"	"John"	"Watson"	"WAT"	"McLaren Ford"
"10"	"Andrea"	"de Cesaris"	"DEC"	"Alfa Romeo"
"11"	"Mario"	"Andretti"	"AND"	"Lotus Ford"
"12"	"Jacques"	"Laffite"	"LAF"	"Ligier Ford"
"13"	"Alain"	"Prost"	"PRO"	"McLaren Ford"
"14"	"Keke"	"Rosberg"	"ROS"	"Fittipaldi Ford"
"15"	"Rupert"	"Keegan"	"KEE"	"Williams Ford"
"16"	"Eddie "	"Cheever"	"CHE"	"Osella Ford"
"17"	"Marc"	"Surer"	"SUR"	"ATS Ford"
"18"	"Gilles"	"Villeneuve"	"VIL"	"Ferrari"
"19"	"Emerson"	"Fittipaldi"	"FIT"	"Fittipaldi Ford"
"20"	"Riccardo"	"Patrese"	"PAT"	"Arrows Ford"
"21"	"Derek"	"Daly"	"DAL"	"Tyrrell Ford"
"22"	"Jean-Pierre"	"Jarier"	"JAR"	"Tyrrell Ford"
"23"	"Jody"	"Scheckter"	"SCH"	"Ferrari"
"24"	"Jochen"	"Mass"	"MAS"	"Arrows Ford"
"25"	"Jan"	"Lammers"	"LAM"	"Ensign Ford"
"26"	"Mike"	"Thackwell"	"THA"	"Tyrrell Ford"
