"position"	"driverName"	"driverSurname"	"driverInitials"	"driverTeam"
"1"	"Alain"	"Prost"	"PRO"	"Renault"
"2"	"Rene"	"Arnoux"	"ARN"	"Renault"
"3"	"Michele"	"Alboreto"	"ALB"	"Tyrrell Ford"
"4"	"Eddie "	"Cheever"	"CHE"	"Ligier Matra"
"5"	"Riccardo"	"Patrese"	"PAT"	"Brabham Ford"
"6"	"Keke"	"Rosberg"	"ROS"	"Williams Ford"
"7"	"Mario"	"Andretti"	"AND"	"Ferrari"
"8"	"Patrick"	"Tambay"	"TAM"	"Ferrari"
"9"	"John"	"Watson"	"WAT"	"McLaren Ford"
"10"	"Derek"	"Warwick"	"WAR"	"Toleman Hart"
"11"	"Jacques"	"Laffite"	"LAF"	"Ligier Matra"
"12"	"Nelson"	"Piquet"	"PIQ"	"Brabham Ford"
"13"	"Niki"	"Lauda"	"LAU"	"McLaren Ford"
"14"	"Derek"	"Daly"	"DAL"	"Williams Ford"
"15"	"Roberto"	"Guerrero"	"GUE"	"Ensign Ford"
"16"	"Bruno"	"Giacomelli"	"GIA"	"Alfa Romeo"
"17"	"Marc"	"Surer"	"SUR"	"Arrows Ford"
"18"	"Andrea"	"de Cesaris"	"DEC"	"Alfa Romeo"
"19"	"Brian"	"Henton"	"HEN"	"Tyrrell Ford"
"20"	"Elio"	"de Angelis"	"DEA"	"Lotus Ford"
"21"	"Nigel"	"Mansell"	"MAN"	"Lotus Ford"
"22"	"Manfred"	"Winkelhock"	"WIN"	"ATS Ford"
"23"	"Mauro"	"Baldi"	"BAL"	"Arrows Ford"
"24"	"Raul"	"Boesel"	"BOE"	"March Ford"
"25"	"Rupert"	"Keegan"	"KEE"	"March Ford"
"26"	"Tommy"	"Byrne"	"BYR"	"Theodore Ford"
