"position"	"driverName"	"driverSurname"	"driverInitials"	"driverTeam"
"1"	"Alain"	"Prost"	"PRO"	"Renault"
"2"	"Rene"	"Arnoux"	"ARN"	"Renault"
"3"	"Riccardo"	"Patrese"	"PAT"	"Brabham Ford"
"4"	"Niki"	"Lauda"	"LAU"	"McLaren Ford"
"5"	"Andrea"	"de Cesaris"	"DEC"	"Alfa Romeo"
"6"	"Nelson"	"Piquet"	"PIQ"	"Brabham Ford"
"7"	"Derek"	"Daly"	"DAL"	"Williams Ford"
"8"	"Keke"	"Rosberg"	"ROS"	"Williams Ford"
"9"	"Bruno"	"Giacomelli"	"GIA"	"Alfa Romeo"
"10"	"Patrick"	"Tambay"	"TAM"	"Ferrari"
"11"	"John"	"Watson"	"WAT"	"McLaren Ford"
"12"	"Michele"	"Alboreto"	"ALB"	"Tyrrell Ford"
"13"	"Jacques"	"Laffite"	"LAF"	"Ligier Matra"
"14"	"Marc"	"Surer"	"SUR"	"Arrows Ford"
"15"	"Elio"	"de Angelis"	"DEA"	"Lotus Ford"
"16"	"Eddie "	"Cheever"	"CHE"	"Ligier Matra"
"17"	"Jean-Pierre"	"Jarier"	"JAR"	"Osella Ford"
"18"	"Brian"	"Henton"	"HEN"	"Tyrrell Ford"
"19"	"Roberto"	"Guerrero"	"GUE"	"Ensign Ford"
"20"	"Manfred"	"Winkelhock"	"WIN"	"ATS Ford"
"21"	"Derek"	"Warwick"	"WAR"	"Toleman Hart"
"22"	"Rupert"	"Keegan"	"KEE"	"March Ford"
"23"	"Teo"	"Fabi"	"FAB"	"Toleman Hart"
"24"	"Raul"	"Boesel"	"BOE"	"March Ford"
"25"	"Eliseo"	"Salazar"	"SAL"	"ATS Ford"
"26"	"Nigel"	"Mansell"	"MAN"	"Lotus Ford"
