"position"	"driverName"	"driverSurname"	"driverInitials"	"driverTeam"
"1"	"Damon"	"Hill"	"HIL"	"Williams Renault"
"2"	"Michael"	"Schumacher"	"MSC"	"Benetton Renault"
"3"	"David"	"Coulthard"	"COU"	"Williams Renault"
"4"	"Johnny"	"Herbert"	"HER"	"Benetton Renault"
"5"	"Gerhard"	"Berger"	"BER"	"Ferrari"
"6"	"Jean"	"Alesi"	"ALE"	"Ferrari"
"7"	"Mika"	"Hakkinen"	"HAK"	"McLaren Mercedes"
"8"	"Eddie"	"Irvine"	"IRV"	"Jordan Peugeot"
"9"	"Mark"	"Blundell"	"BLU"	"McLaren Mercedes"
"10"	"Olivier"	"Panis"	"PAN"	"Ligier Mugen Honda"
"11"	"Ukyo"	"Katayama"	"KAT"	"Tyrrell Yamaha"
"12"	"Mika"	"Salo"	"SAL"	"Tyrrell Yamaha"
"13"	"Gianni"	"Morbidelli"	"MOR"	"Footwork Hart"
"14"	"Heinz-Harald"	"Frentzen"	"FRE"	"Sauber Ford"
"15"	"Aguri"	"Suzuki"	"SUZ"	"Ligier Mugen Honda"
"16"	"Rubens"	"Barrichello"	"BAR"	"Jordan Peugeot"
"17"	"Pierluigi"	"Martini"	"MAR"	"Minardi Ford"
"18"	"Luca"	"Badoer"	"BAD"	"Minardi Ford"
"19"	"Karl"	"Wendlinger"	"WEN"	"Sauber Ford"
"20"	"Bertrand"	"Gachot"	"GAC"	"Pacific Ilmor"
"21"	"Taki"	"Inoue"	"INO"	"Footwork Hart"
"22"	"Andrea"	"Montermini"	"MON"	"Pacific Ilmor"
"23"	"Roberto"	"Moreno"	"MOR"	"Forti Ford"
"24"	"Jos"	"Verstappen"	"VER"	"Simtek Ford"
"25"	"Pedro"	"Diniz"	"DIN"	"Forti Ford"
"26"	"Domenico"	"Schiattarella"	"SCH"	"Simtek Ford"
