"position"	"driverName"	"driverSurname"	"driverInitials"	"driverTeam"
"1"	"David"	"Coulthard"	"COU"	"Williams Renault"
"2"	"Damon"	"Hill"	"HIL"	"Williams Renault"
"3"	"Michael"	"Schumacher"	"MSC"	"Benetton Renault"
"4"	"Jean"	"Alesi"	"ALE"	"Ferrari"
"5"	"Gerhard"	"Berger"	"BER"	"Ferrari"
"6"	"Eddie"	"Irvine"	"IRV"	"Jordan Peugeot"
"7"	"Johnny"	"Herbert"	"HER"	"Benetton Renault"
"8"	"Heinz-Harald"	"Frentzen"	"FRE"	"Sauber Ford"
"9"	"Olivier"	"Panis"	"PAN"	"Ligier Mugen Honda"
"10"	"Mark"	"Blundell"	"BLU"	"McLaren Mercedes"
"11"	"Rubens"	"Barrichello"	"BAR"	"Jordan Peugeot"
"12"	"Jan"	"Magnussen"	"MAG"	"McLaren Mercedes"
"13"	"Aguri"	"Suzuki"	"SUZ"	"Ligier Mugen Honda"
"14"	"Pedro"	"Lamy"	"LAM"	"Minardi Ford"
"15"	"Jean-Christophe"	"Boullion"	"BOU"	"Sauber Ford"
"16"	"Luca"	"Badoer"	"BAD"	"Minardi Ford"
"17"	"Ukyo"	"Katayama"	"KAT"	"Tyrrell Yamaha"
"18"	"Mika"	"Salo"	"SAL"	"Tyrrell Yamaha"
"19"	"Gianni"	"Morbidelli"	"MOR"	"Footwork Hart"
"20"	"Taki"	"Inoue"	"INO"	"Footwork Hart"
"21"	"Pedro"	"Diniz"	"DIN"	"Forti Ford"
"22"	"Roberto"	"Moreno"	"MOR"	"Forti Ford"
"23"	"Andrea"	"Montermini"	"MON"	"Pacific Ilmor"
"24"	"Bertrand"	"Gachot"	"GAC"	"Pacific Ilmor"
